id	class	flag	verdict	detail	pass
11010	other	feat	dup	polluted memories — memory hygiene 已有	manual
11011	other	feat	noise	memories config rename	manual
11012	other	feat	noise	enable ma via /agent internal	manual
11018	other	feat	dup	presentation artifact p1 — artifact surface 已有	manual
11019	other	feat	dup	pres artifact 2 同上	manual
11020	other	feat	dup	pres artifact 3 同上	manual
11021	other	feat	dup	spreadsheet artifact 同上	manual
11022	other	feat	dup	spreadsheet v2 同上	manual
11023	other	feat	dup	presentation part4 同上	manual
11024	other	feat	dup	spreadsheet part3 同上	manual
11025	other	feat	dup	pres artifact part5 同上	manual
11026	other	feat	dup	presentation multi-actions 同上	manual
11027	other	feat	dup	artifact presentation part 7 同上	manual
11041	other	feat	noise	ordinal nickname internal	manual
11042	other	feat	dup	disable request input on subagent — delegate 无输入形态已有	manual
11044	other	feat	dup	memories in workspace write — memory 写入已有	manual
11047	other	feat	dup	external artifacts builder — artifact 已有	manual
11062	other	feat	dup	gen memories config — memory config 已有	manual
11084	other	feat	dup	memories forgetting — memory 遗忘已有	manual
11095	other	feat	noise	e2e latency phases internal	manual
11096	other	feat	noise	phase 2 usage internal	manual
11099	other	feat	noise	rollout slug internal	manual
11109	other	feat	noise	no-timeout mode internal	manual
11126	other	feat	dup	allow_login_shell config — env/配置面已有	manual
11153	other	feat	dup	memories config 已有	manual
11154	other	feat	noise	windows workers stack internal	manual
11155	other	feat	noise	slug in name internal	manual
11170	other	feat	dup	agents config 入主 config — agent 配置已有	manual
11181	other	feat	noise	thread listing internal	manual
11182	other	feat	noise	split codex-common internal	manual
11185	other	feat	dup	close mem agent after consolidation — memory 生命周期已有	manual
11196	other	feat	noise	windows build machines internal	manual
11198	other	feat	noise	windows binaries parallel internal	manual
11208	other	feat	dup	mem drop cot — memory 已有	manual
11213	other	feat	dup	metrics to memories — memory 已有	manual
11218	other	feat	dup	resumable backfill — durable resume 已有	manual
11220	other	feat	dup	repair DB missing lines — state DB 修复已有	manual
11225	other	feat	noise	wait for backfill internal	manual
11231	other	feat	noise	detailed runtime metrics internal	manual
11234	other	feat	noise	async backfill internal	manual
11245	other	feat	noise	experimental_network debug output internal	manual
11247	other	feat	noise	permessage-deflate ws internal	manual
11250	other	feat	noise	NetworkConfig env_context internal	manual
11252	other	feat	noise	NetworkConfig ExecParams internal	manual
11253	other	feat	dup	exec processes persist across turns — durable exec 已有	manual
11268	other	feat	dup	phase1 mem client — memory 已有	manual
11272	other	feat	dup	phase1 mem db — memory 已有	manual
11274	other	feat	noise	configurable log_dir minor	manual
11289	other	feat	dup	unified_exec — unified exec 已有	manual
11293	other	feat	noise	experimental flags internal	manual
11297	other	feat	noise	--experimental generate-ts internal	manual
11311	other	feat	noise	find_thread_path internal	manual
11321	other	feat	noise	runtime metrics console internal	manual
11326	other	feat	noise	vendor protocol fixtures internal	manual
11339	other	feat	dup	RequestRule — rules/hooks 已有	manual
11340	other	feat	noise	auto-subscribe threads internal	manual
11341	other	feat	noise	sqlite internal	manual
11342	other	feat	noise	sort metadata internal	manual
11348	other	feat	noise	async backfill internal	manual
11352	other	feat	noise	reduce span exposition internal	manual
11359	other	feat	noise	/ps output — their CLI	manual
11361	other	feat	noise	backfill timing metric internal	manual
11366	other	feat	noise	logs client internal	manual
11367	other	feat	noise	heuristic log coloring internal	manual
11368	other	feat	noise	CodexAuth invalid-state refactor	manual
11426	other	feat	noise	proxy for ws internal	manual
11440	other	feat	cand	ephemeral threads — 不落盘会话形态	manual
11444	other	feat	dup	cap number of agents — 并发上限已有	manual
11450	other	feat	noise	config schema publish internal	manual
11455	other	feat	noise	archived threads list internal	manual
11461	other	feat	noise	threads by created_at internal	manual
11470	other	feat	noise	close all threads /new internal	manual
11471	other	feat	noise	detach non-tty childs internal	manual
11478	other	feat	noise	proxy for ws internal	manual
11483	other	feat	noise	tui2 experimental menu — their UI	manual
11489	other	feat	dup	max threads config — 并发配置已有	manual
11495	other	feat	noise	CODEX_CI internal	manual
11513	other	feat	noise	clb tool internal	manual
11536	other	feat	noise	bazel justfile internal	manual
11559	other	feat	noise	find_resource macro internal	manual
11561	other	feat	noise	metrics capabilities internal	manual
11566	other	feat	noise	a few metrics internal	manual
11568	other	feat	noise	list loaded threads internal	manual
11584	other	feat	dup	head-tail buffer unified_exec — exec buffer 已有	manual
11586	other	feat	noise	forced tool tips internal	manual
11588	other	feat	noise	agent controller internal	manual
11590	other	feat	noise	drop agent bus internal	manual
11601	other	feat	noise	open prompt in external editor minor	manual
11604	other	feat	noise	cargo-bin test util internal	manual
11614	other	feat	dup	justification arg in rules — rules 已有	manual
11624	other	feat	noise	v2 deprecation notice internal	manual
11627	other	feat	noise	add /ps — their CLI	manual
11630	other	feat	noise	collapse waiting internal	manual
11657	other	feat	noise	unified exec footer internal	manual
11660	other	feat	noise	ConfigLayerName union internal	manual
11662	other	feat	noise	unified_exec fallback internal	manual
11663	other	feat	noise	experimental menu internal	manual
11664	other	feat	noise	unified exec footer internal	manual
11667	other	feat	noise	close unified_exec internal	manual
11672	other	feat	dup	ghost commits config — checkpoint/快照已有	manual
11686	other	feat	dup	more safe commands — 命令安全档已有	manual
11727	other	feat	noise	linux sigstore codesign infra	manual
11739	other	feat	dup	pycache excluded — ignore 规则已有	manual
11745	other	feat	noise	tool tips internal	manual
11752	other	feat	dup	ignore standard directories — ignore 已有	manual
11753	other	feat	noise	intercept apply_patch internal	manual
11755	other	feat	noise	one-off commands app-server internal	manual
11768	other	feat	noise	unified exec pruning internal	manual
11776	other	feat	noise	app-server config mgmt internal	manual
11782	other	feat	noise	process ID event internal	manual
11784	other	feat	dup	detached review — review 已有	manual
11800	other	feat	noise	arcticfox codename internal	manual
11802	other	feat	noise	large-commit warning minor	manual
11813	other	feat	dup	review in app server — review 已有	manual
11905	other	feat	dup	compactor 2 — compaction 已有	manual
11926	other	feat	noise	end events unified_exec internal	manual
11941	other	feat	noise	GetConversationSummary RPC internal	manual
11954	other	feat	noise	deprecation warning internal	manual
11981	other	feat	noise	stdio-to-uds subcommand internal	manual
11997	other	feat	noise	emit events unified_exec internal	manual
12044	other	feat	noise	write pid to server info internal	manual
12146	other	feat	noise	onboarding strings tweak	manual
12150	other	feat	noise	splash update	manual
12156	other	feat	boundary	reasoning level in header — their UI	manual
12176	other	feat	noise	reasoning_effort response field internal	manual
12344	sessions-history	feat	boundary	guardian transcript deltas — their guardian feature	manual
12416	sessions-history	feat	noise	session source otel tag internal	manual
12439	sessions-history	feat	boundary	multi-click transcript select — their TUI	manual
12541	cli-flags	feat	dup	doctor env diagnostics — diagnostics 已有	manual
12551	cli-flags	feat	dup	doctor environment diagnostics 同上	manual
12575	cli-flags	feat	noise	min log level internal	manual
12587	cli-flags	feat	noise	log db maintenance internal	manual
12601	cli-flags	feat	noise	drop sqlite feature flag internal	manual
12602	cli-flags	feat	noise	limit log rows internal	manual
12617	cli-flags	feat	noise	experimental extended history internal	manual
12621	cli-flags	feat	noise	--search just log internal	manual
12629	cli-flags	feat	noise	ws timing metrics internal	manual
12631	cli-flags	feat	noise	drop sqlx logging internal	manual
12639	cli-flags	feat	noise	log db internal	manual
12640	cli-flags	feat	noise	log db client internal	manual
12641	cli-flags	feat	noise	log retention 90d internal	manual
12658	cli-flags	feat	boundary	requirementList — their app-server surface	manual
12668	cli-flags	feat	noise	/etc/codex/config.toml honor — config path	manual
12934	attachments	feat	dup	bad image error — attachment 校验已有	manual
12935	attachments	feat	dup	retroactive image placeholder — attachment fallback 已有	manual
12938	attachments	feat	dup	undecodable image placeholder 同上	manual
13686	scheduling	feat	noise	timer turn metrics internal	manual
13687	scheduling	feat	noise	timer tags internal	manual
13787	remote-cloud	feat	boundary	remote-control pairing — their remote surface	manual
13788	remote-cloud	feat	boundary	pairing status transport 同上	manual
13789	remote-cloud	feat	boundary	pairing status RPC 同上	manual
13797	remote-cloud	feat	boundary	pairing start 同上	manual
13812	remote-cloud	feat	noise	remote compaction parity internal	manual
13828	remote-cloud	feat	boundary	installation ID remote enrollment — their remote	manual
13938	remote-cloud	feat	noise	remote branch review internal	manual
13946	remote-cloud	feat	dup	remote compaction — compaction 已有	manual
14026	memory-context	feat	dup	compact large tool schemas — schema 压缩已有	manual
14039	memory-context	feat	dup	ad-hoc memory extension instructions — memory ext 已有	manual
14042	memory-context	feat	dup	git-backed workspace diffs memory — memory 已有	manual
14069	memory-context	feat	dup	memory mode phase1 extraction — memory 已有	manual
14072	memory-context	feat	dup	memory usage for selection — memory 已有	manual
14087	memory-context	feat	dup	new memory prompts — memory 已有	manual
14090	memory-context	feat	dup	memory read path — memory 已有	manual
14115	memory-context	feat	dup	skip compact on last user turn — compaction 已有	manual
14117	memory-context	feat	dup	alias compaction — compaction 已有	manual
14134	memory-context	feat	dup	configurable compaction prompt — compaction 配置已有	manual
14951	models-routing	feat	dup	reasoning effort optional — reasoning 配置已有	manual
15279	shell-tools	feat	dup	canonical command exec items — exec/audit 已有	manual
15378	shell-tools	feat	noise	zsh exec bridge internal	manual
15410	shell-tools	feat	noise	shell command sorting internal	manual
15415	shell-tools	feat	dup	display raw command — 命令透明已有	manual
15435	shell-tools	feat	noise	powershell utf-8 internal	manual
15443	shell-tools	feat	noise	locate pwsh util internal	manual
15522	git-pr-ci	feat	noise	guard git enrichment internal	manual
15598	git-pr-ci	feat	dup	git info to memories — memory 已有	manual
15608	git-pr-ci	feat	noise	remove cargo check CI internal	manual
15663	git-pr-ci	feat	dup	git branch tooling — git tools 已有	manual
15672	git-pr-ci	feat	dup	async ghost commit — snapshot 已有	manual
15925	skills-plugins	feat	noise	goal progress extension internal	manual
16269	api-sdk	feat	noise	--config flags SDK internal	manual
16318	security-secrets	feat	cand	dynamic tools injection — 动态工具注入面	manual
16344	integrations	feat	boundary	connected account email — their app reviews	manual
16509	bugfix	feat	dup	report failure tool — 失败回报已有	manual
16662	bugfix	feat	boundary	ctrl+c input behavior — their TUI	manual
16955	bugfix	feat	noise	filepath apply fix	manual
17081	bugfix	feat	boundary	VSC quick fix disable — their ext	manual
17224	other	feat	noise	/rename alias minor	manual
17239	other	feat	noise	react best practices consolidate	manual
17240	other	feat	dup	rule tools disabled default — rules gating 已有	manual
17248	other	feat	boundary	message counter — their UI	manual
17262	other	feat	dup	resubmit overloaded errors — retry 已有	manual
17263	other	feat	boundary	remove rule button — their UI	manual
17344	other	feat	dup	reusable workflow — workflows 已有	manual
17346	other	feat	boundary	cmd+a select images — their UI	manual
17373	other	feat	boundary	stream error toggle — their UI	manual
17374	other	feat	boundary	thinking block layout — their UI	manual
17377	other	feat	boundary	autocomplete cache — their ext	manual
17406	other	feat	boundary	JCEF reload — their ext	manual
17416	other	feat	boundary	rename rule dialog — their UI	manual
17504	other	feat	dup	fetch errors to agent — 错误回传已有	manual
17514	other	feat	dup	instant find/replace — edit 工具已有	manual
17596	other	feat	boundary	asciinema recordings — their surface	manual
17597	other	feat	boundary	onboarding billing — their SaaS	manual
17602	other	feat	noise	workflows rename internal	manual
17705	other	feat	noise	environment.json internal	manual
17706	other	feat	noise	agents to guides internal	manual
17709	other	feat	noise	environment.json serve internal	manual
17710	other	feat	noise	cn serve boolean internal	manual
17716	other	feat	noise	status tool cn internal	manual
17717	other	feat	noise	workflows docs internal	manual
17730	other	feat	noise	tool icon names internal	manual
17734	other	feat	noise	global req internal	manual
17735	other	feat	noise	~ uses block resolve internal	manual
17738	other	feat	boundary	block icons — their UI	manual
17741	other	feat	boundary	next edit char diff — their editor	manual
17747	other	feat	boundary	mark unread — their UI	manual
17750	other	feat	noise	response tone rule internal	manual
17806	other	feat	boundary	fullscreen cmd — their UI	manual
17810	other	feat	boundary	thinking tags dim — their UI	manual
17813	other	feat	noise	autoformat detection internal	manual
17815	other	feat	noise	readiness guide docs	manual
17817	other	feat	noise	no-any type rule internal	manual
17821	other	feat	dup	find/replace improvements — edit 已有	manual
17855	other	feat	boundary	settings tooltips — their UI	manual
17856	other	feat	noise	edit tools tweaks internal	manual
17863	other	feat	boundary	notch cleanup — their UI	manual
17976	other	feat	dup	resource monitoring — metrics 已有	manual
17977	other	feat	noise	eyes reaction gimmick	manual
17979	other	feat	boundary	assistant menu — their UI	manual
17982	other	feat	noise	GEO docs update	manual
17983	other	feat	cand	security-sensitive values salvage in Glob — 敏感值保护面	manual
17988	other	feat	noise	next edit docs	manual
17989	other	feat	noise	rebrand assistants internal	manual
17994	other	feat	boundary	assistant select polish — their UI	manual
17999	other	feat	dup	prevent unsafe file reads — file guard 已有	manual
18060	other	feat	dup	resource monitoring — metrics 已有	manual
18061	other	feat	boundary	focus chat input — their UI	manual
18211	other	feat	boundary	disable edit prompt — their UI	manual
18219	other	feat	boundary	Org Policies — enterprise 面	manual
18290	other	feat	boundary	staging yellow border — their UI	manual
18297	other	feat	boundary	chain next edits — their editor	manual
18299	other	feat	dup	parallelization instructions — 并行工具已有	manual
18301	other	feat	boundary	disabled tool tooltips — their UI	manual
18320	other	feat	cand	plug-and-play system-message tool frameworks — 工具框架插拔	manual
18322	other	feat	boundary	next edit capabilities — their editor	manual
18327	other	feat	boundary	local block loading hub — their ext	manual
18329	other	feat	dup	System Message tools — system msg 已有	manual
18358	other	feat	boundary	Pause->Stop — their UI	manual
18362	other	feat	noise	static contextual test internal	manual
18448	other	feat	noise	init prompt internal	manual
18457	other	feat	boundary	sessions loading indicator — their UI	manual
18462	other	feat	boundary	generate rule dialog — their UI	manual
18476	other	feat	boundary	mermaid diagrams — their viewer	manual
18485	other	feat	dup	colocated rules folder prefix — rules 作用域已有	manual
18490	other	feat	noise	fatal error message improve	manual
18503	other	feat	noise	repo rules internal	manual
18507	other	feat	boundary	AssistantAndOrgListbox — their UI	manual
18513	other	feat	noise	llms.txt generation	manual
18529	other	feat	dup	search&replace tool — edit 已有	manual
18542	other	feat	dup	requestRule tool — rules 已有	manual
18552	other	feat	noise	sourcemaps internal	manual
18572	other	feat	boundary	onboarding card — their UI	manual
18576	other	feat	boundary	markdown rules notch — their UI	manual
18581	other	feat	noise	chatInteraction dev data internal	manual
18592	other	feat	boundary	StreamError dialog — their UI	manual
18594	other	feat	noise	remove edit mode internal	manual
18614	other	feat	dup	display rules used — rules 可见性已有	manual
18618	other	feat	boundary	Hub link — their SaaS	manual
18634	other	feat	dup	markdown rules — rules 已有	manual
18635	other	feat	boundary	JB showFile — their ext	manual
18653	other	feat	boundary	assistant refresh submenus — their UI	manual
18664	other	feat	boundary	JB thread limit — their ext	manual
18669	other	feat	dup	globs on rules — rules glob 已有	manual
18702	other	feat	dup	create_rule_block tool — rules 已有	manual
18703	other	feat	noise	apply e2e tests internal	manual
18705	other	feat	dup	instant apply diff rejection — apply 流已有	manual
18716	other	feat	noise	ProtocolClient init internal	manual
18725	other	feat	dup	baseSystemMessage — system msg 已有	manual
18727	other	feat	boundary	assistant select — their UI	manual
18728	other	feat	boundary	codeblock toolbar — their UI	manual
18733	other	feat	boundary	StepContainer — their UI	manual
18735	other	feat	boundary	create file button — their UI	manual
18747	other	feat	dup	prompt blocks — prompt 块已有	manual
18748	other	feat	boundary	assistant polish — their UI	manual
18767	other	feat	boundary	code styling — their UI	manual
18776	other	feat	boundary	animated ellipsis — their UI	manual
18794	other	feat	noise	remove tools schema internal	manual
18795	other	feat	boundary	headings sizing — their UI	manual
18796	other	feat	noise	nvm check install script	manual
18815	other	feat	boundary	assistant polish — their UI	manual
18818	other	feat	boundary	explore btn — their UI	manual
18819	other	feat	boundary	bookmark prompts — their UI	manual
18833	other	feat	boundary	conversation starters — their UI	manual
18838	other	feat	noise	schema v1 internal	manual
18872	other	feat	boundary	org assistants cache — their SaaS	manual
18886	other	feat	noise	vectordb arm64 dep	manual
18926	other	feat	boundary	assistant select — their UI	manual
18965	other	feat	boundary	autocomplete visited ranged — their ext	manual
18998	other	feat	noise	meyers diff internal	manual
19016	other	feat	boundary	account dialog buttons — their UI	manual
19049	other	feat	noise	redux schemas internal	manual
19051	other	feat	boundary	move Edit to Chat — their UI	manual
19062	other	feat	boundary	preserve edit on reject — their UI	manual
19085	other	feat	boundary	URL peek icon — their UI	manual
19095	other	feat	dup	multifile edits — multifile edit 已有	manual
19140	other	feat	dup	accept/reject MFE — apply 流已有	manual
19166	other	feat	dup	multifile edit slash cmd 同上	manual
19167	other	feat	dup	bm25 fts — search-index 已有	manual
19193	other	feat	boundary	JB apply button — their ext	manual
19215	other	feat	boundary	JB esbuild — their ext	manual
19219	other	feat	cand	Automatic Chat Titles — 会话自动标题	manual
19298	sessions-history	feat	noise	remove applied rules internal	manual
19310	sessions-history	feat	dup	dangerous command shown once — 批准态记忆已有	manual
19312	sessions-history	feat	noise	split chat blocks internal	manual
19324	sessions-history	feat	noise	parallel build internal	manual
19343	sessions-history	feat	noise	focus session id cmd internal	manual
19755	remote-cloud	feat	dup	headless no-TTY — headless 运行已有	manual
19783	remote-cloud	feat	boundary	remote sessions in cn ls — their remote	manual
19785	remote-cloud	feat	dup	headless error exit codes — headless 已有	manual
19788	remote-cloud	feat	noise	mercury-coder apply compat	manual
19849	memory-context	feat	dup	compaction — 已有	manual
19897	ui-ux	feat	boundary	diff UI find/replace — their viewer	manual
19952	ui-ux	feat	boundary	SVG tooltip — their UI	manual
19967	ui-ux	feat	boundary	edit UI enhancements — their UI	manual
19996	cli-flags	feat	boundary	devbox blueprint suggestions — their env	manual
19997	cli-flags	feat	noise	CLI quiz answers internal	manual
20003	cli-flags	feat	noise	checks dir discovery internal	manual
20005	cli-flags	feat	noise	curl install scripts	manual
20022	cli-flags	feat	noise	skip update check dev mode	manual
20024	cli-flags	feat	boundary	context percentage display — their CLI	manual
20029	cli-flags	feat	noise	filter >1000char lines internal	manual
20047	cli-flags	feat	noise	remove auto-accept setting internal	manual
20074	cli-flags	feat	dup	auto-accept edits setting — auto-approve 已有	manual
20088	cli-flags	feat	noise	CLI auto-updates	manual
20091	cli-flags	feat	noise	--id flag cn serve	manual
20099	cli-flags	feat	noise	cli fetch tool internal	manual
20107	cli-flags	feat	noise	dot spacing chat input	manual
20110	cli-flags	feat	noise	diagnostics /info — their CLI	manual
20111	cli-flags	feat	noise	press enter continue	manual
20124	cli-flags	feat	boundary	on-prem proxy — their enterprise	manual
20125	cli-flags	feat	noise	cli tips	manual
20126	cli-flags	feat	dup	home-dir warning — workdir 提示已有	manual
20132	cli-flags	feat	noise	--prompt flag	manual
20133	cli-flags	feat	noise	message format align	manual
20136	cli-flags	feat	dup	CLI message titles — 自动标题同 #19219	manual
20165	cli-flags	feat	noise	rule parsing to config-yaml internal	manual
20175	cli-flags	feat	noise	markdown yaml description internal	manual
20286	mcp-tools	feat	noise	oauth asExternalUrl fix	manual
20403	attachments	feat	cand	clipboard content as context — 剪贴板上下文源	manual
20405	shell-tools	feat	dup	bash background exec — bg jobs 已有	manual
20430	shell-tools	feat	dup	CLI shell mode — shell mode 已有	manual
20440	shell-tools	feat	dup	Unified Terminal — terminal 已有	manual
20455	shell-tools	feat	dup	terminal OS/shell aware — shell env 已有	manual
20456	shell-tools	feat	dup	terminal tool+ui — terminal 已有	manual
20484	api-sdk	feat	noise	assistant optional sdk internal	manual
20486	api-sdk	feat	noise	continue sdk internal	manual
20523	git-pr-ci	feat	dup	AI-authored code git tracking — provenance 已有	manual
20568	git-pr-ci	feat	dup	disable commit signature env — commit sign/provenance 已有	manual
20590	git-pr-ci	feat	boundary	global rule creation UI — their UI	manual
20604	git-pr-ci	feat	dup	cli commit signature — provenance 已有	manual
20605	git-pr-ci	feat	noise	show git branch minor	manual
20612	git-pr-ci	feat	noise	reusable github action internal	manual
20652	git-pr-ci	feat	noise	issue/PR stats workflow internal	manual
20686	perf	feat	noise	lazy apply reintroduce internal	manual
20718	search-index	feat	noise	manual ripgrep download JB	manual
20728	search-index	feat	noise	Go pre-indexed docs internal	manual
20733	search-index	feat	boundary	SageMaker Embeddings — cloud provider	manual
20783	file-edit	feat	noise	search/replace error codes internal	manual
20792	file-edit	feat	dup	multi-edit + search-replace — edit 已有	manual
20809	file-edit	feat	boundary	JB scroll to top — their ext	manual
21236	other	feat	boundary	hyper beta — their product	manual
21274	other	feat	boundary	iterm2 progress bar — their env	manual
26534	shell-tools	feat	noise	shell desc display internal	manual
26569	shell-tools	feat	noise	terminal-setup prompt internal	manual
26574	shell-tools	feat	noise	ctrl+f prompt conditional internal	manual
26575	shell-tools	feat	noise	shell efficiency guidelines internal	manual
26577	shell-tools	feat	dup	background shell commands — bg exec 已有	manual
26580	shell-tools	feat	noise	shell inactivity monitoring internal	manual
26588	shell-tools	feat	dup	shell redirection transparency/security — exec 审计已有	manual
26600	shell-tools	feat	dup	env vars to shell exec — env 传递已有	manual
26610	shell-tools	feat	noise	custom loading phrase internal	manual
26616	shell-tools	feat	dup	cwd in shell desc — workdir 透明已有	manual
26621	shell-tools	feat	noise	slash/shell queue prevention minor	manual
26628	shell-tools	feat	noise	shell exec reliability internal	manual
26659	shell-tools	feat	dup	block reason shows disallowed — deny 原因已有	manual
26662	shell-tools	feat	boundary	hide cursor unfocused — their UI	manual
26977	bugfix	feat	noise	A2A streaming reassembly internal	manual
26982	bugfix	feat	noise	fetch timeout internal	manual
27113	bugfix	feat	boundary	maintainer-only automation — their bot	manual
27289	bugfix	feat	noise	lychee-action link check	manual
27739	mcp-tools	feat	dup	mcp 401 handling — MCP 错误处理已有	manual
27790	ui-ux	feat	boundary	TerminalBuffer flicker — their UI	manual
27800	ui-ux	feat	boundary	Composer layout — their UI	manual
27805	ui-ux	feat	boundary	todo tool UI tips — their UI	manual
27811	ui-ux	feat	boundary	Ultra /upgrade hint — their SaaS	manual
27815	ui-ux	feat	boundary	tracker UI polish — their UI	manual
27816	ui-ux	feat	boundary	focus colors — their UI	manual
27827	ui-ux	feat	boundary	thinking UI overhaul — their CLI	manual
27850	ui-ux	feat	boundary	clean UI toggle — their UI	manual
27854	ui-ux	feat	boundary	startup warnings UX — their UI	manual
27863	ui-ux	feat	boundary	truncate dots tables — their UI	manual
27867	ui-ux	feat	boundary	user identity header — their UI	manual
27886	ui-ux	feat	boundary	AskUserDialog — their UI	manual
27887	ui-ux	feat	boundary	user tier about — their SaaS	manual
27897	ui-ux	feat	boundary	agents UI feedback — their UI	manual
27902	ui-ux	feat	dup	retry mechanism UX — retry 已有	manual
27911	ui-ux	feat	noise	hooks log verbosity internal	manual
27912	ui-ux	feat	dup	'allow all future sessions' behind setting — 持久批准已有	manual
27938	ui-ux	feat	boundary	response UI — their UI	manual
27946	ui-ux	feat	dup	unified event system errors — 错误面已有	manual
27952	ui-ux	feat	boundary	Esc hint dialog — their UI	manual
27958	ui-ux	feat	dup	context overflow message — context 提示已有	manual
27960	ui-ux	feat	noise	flicker detection metrics internal	manual
27978	ui-ux	feat	boundary	EnumSelector component — their UI	manual
27983	ui-ux	feat	boundary	IDE install UX — their ext	manual
27987	ui-ux	feat	dup	message queuing during streaming — 消息队列已有	manual
27989	ui-ux	feat	boundary	hideFooter setting — their UI	manual
28000	ui-ux	feat	boundary	narrow terminal layout — their UI	manual
28030	other	feat	boundary	caretaker Firestore — their backend	manual
28031	other	feat	noise	caretaker-evals internal	manual
28033	other	feat	boundary	caretaker Pub/Sub — their backend	manual
28039	other	feat	noise	caretaker-triage worker internal	manual
28042	other	feat	noise	triage worker loop internal	manual
28046	other	feat	boundary	auto-close issues — their bot	manual
