id	harness	dom	kind	verdict	detail	pass
27	aider	models-routing	other	noise	model/provider line: openrouter/x-ai/grok-3-mini-beta and openrouter/openrouter/o	rule
28	aider	models-routing	feat	noise	provider/模型目录更新	dedup-l
29	aider	models-routing	feat	noise	model/provider line: Add alias grok3 for xai/grok-3-beta.	rule
30	aider	models-routing	feat	annotated	模型 | LiteLLM 100+ provider+tenacit	dedup-l
31	aider	models-routing	fix	noise	marketing: Prevent retrying API calls when the provider	rule
32	aider	models-routing	other	annotated	会话 API 200 空体不重试/单次 failover 408 |	dedup-l
33	aider	models-routing	other	noise	model/provider line: Configure weak models gemini/gemini-2.0-flash and openrouter	rule
34	aider	models-routing	feat	noise	model-catalog: Add model metadata for openrouter/google/gemini-2.0-flash-ex	rule
35	aider	models-routing	other	noise	model/provider line: Prioritize gemini/gemini-2.5-pro-exp-03-25 if GEMINI_API_KEY	rule
36	aider	models-routing	feat	annotated	开屏 | VS Code 侧栏+provider profiles（	dedup-l
37	aider	models-routing	feat	annotated	持久化 | `~/.gemini` 会话+checkpoint；压缩	dedup-l
38	aider	models-routing	feat	annotated	## 24. DSH（DeepSeek 上游，本仓深度托管身体 · MI	dedup-l
39	aider	models-routing	feat	annotated	`#note` 快速记忆 | Claude Code hash mo	dedup-l
40	aider	models-routing	feat	annotated	文件监听资源占用/搜索中输入/滚动位置/消息宽度/空 thinkin	dedup-l
41	aider	models-routing	fix	noise	dep-bump: Bumped dependencies to pickup litellm fix for	rule
42	aider	models-routing	feat	annotated	持久化 | `~/.gemini` 会话+checkpoint；压缩	dedup-l
43	aider	models-routing	feat	annotated	## 24. DSH（DeepSeek 上游，本仓深度托管身体 · MI	dedup-l
44	aider	models-routing	feat	annotated	**Claude Code 2.1.252→2.1.278**（~27	dedup-l
45	aider	models-routing	other	noise	model/provider line: Updated default model to Claude 3.7 Sonnet	rule
46	aider	models-routing	feat	noise	provider/模型目录更新	dedup-l
47	aider	models-routing	feat	annotated	**Claude Code 2.1.252→2.1.278**（~27	dedup-l
48	aider	models-routing	feat	annotated	模型 | 多厂 lineup+TRAE Auto Model 路由+	dedup-l
49	aider	models-routing	other	noise	model/provider line: Offer to install dependencies for Bedrock and	rule
50	aider	models-routing	other	annotated	FTS 损伤域隔离（索引坏≠会话死） | 变体（memory FTS	dedup-l
51	aider	models-routing	feat	noise	model/provider line: Basic support for Claude 3.7 Sonnet	rule
52	aider	models-routing	feat	noise	model/provider line: Use --model sonnet to use the new	rule
53	aider	models-routing	feat	annotated	模型 | LiteLLM 100+ provider+tenacit	dedup-l
54	aider	models-routing	feat	annotated	M138 字节嗅探+BMP | **落地**——magic 重分类	dedup-l
55	aider	models-routing	feat	noise	model/provider line: Better support for o3-mini DeepSeek V3 R1	rule
56	aider	models-routing	feat	noise	model/provider line: Full support for o3-mini: aider --model o3-mini	rule
57	aider	models-routing	feat	noise	model/provider line: Support for R1 free on OpenRouter: --model	rule
58	aider	models-routing	fix	noise	model-catalog: Fix model metadata for openrouter/deepseek/deepseek-r1	rule
59	aider	models-routing	feat	noise	model/provider line: Support for DeepSeek R1.	rule
60	aider	models-routing	other	noise	model/provider line: Also via OpenRouter: --model openrouter/deepseek/deepseek-r1	rule
61	aider	models-routing	feat	annotated	协作 | 无 subagent；benchmark runner 驱	dedup-l
62	aider	models-routing	feat	noise	dep-bump: Bumped all dependencies to pick up litellm	rule
63	aider	models-routing	other	noise	model/provider line: Prompts to help DeepSeek work better when	rule
64	aider	models-routing	other	annotated	可见性 | DiffViewProvider 逐改动批准；工具分组动	dedup-l
65	aider	models-routing	feat	noise	model/provider line: Full support for o1 models.	rule
66	aider	models-routing	feat	annotated	## 24. DSH（DeepSeek 上游，本仓深度托管身体 · MI	dedup-l
67	aider	models-routing	fix	noise	model-catalog: Fix for gemini model names in model	rule
68	aider	models-routing	feat	boundary	Gemini Flash support — their provider	manual
69	aider	models-routing	other	noise	model/provider line: aider --model flash or aider --model gemini/gemini-2.0-flash	rule
70	aider	models-routing	feat	annotated	中断流自动重试 | 变体（provider 韧性族，已记） |	dedup-l
71	aider	models-routing	other	noise	model/provider line: Better error messages when missing dependencies for	rule
72	aider	models-routing	other	dup	no token cost on hard error — 计费修正已有	manual
73	aider	models-routing	fix	noise	model/provider line: Bugfix so o1 models can be used	rule
74	aider	models-routing	feat	noise	model-provider-add: Added experimental Gemini models.	rule
75	aider	models-routing	feat	noise	provider/模型目录更新	dedup-l
76	aider	models-routing	feat	noise	model/provider line: PDF support for Sonnet and Gemini models.	rule
77	aider	models-routing	feat	noise	titleline: Full support for gpt-4o-2024-11-20.	rule
78	aider	models-routing	other	noise	model/provider line: Stream o1 models by default.	rule
79	aider	models-routing	feat	annotated	会话 API 200 空体不重试/单次 failover 408 |	dedup-l
80	aider	models-routing	fix	dup	fuzzy model match without provider info — 模糊匹配兜底已有	manual
81	aider	models-routing	fix	noise	model/provider line: Updated dependency versions to pick up litellm	rule
82	aider	models-routing	feat	noise	model/provider line: Full support for Claude 3.5 Haiku	rule
83	aider	models-routing	other	noise	model/provider line: Almost as good as Sonnet at much	rule
84	aider	models-routing	other	boundary	saas-web: Easily apply file edits from ChatGPT Claude	rule
85	aider	models-routing	other	boundary	saas-web: Chat with ChatGPT or Claude via their	rule
86	aider	models-routing	feat	noise	model/provider line: Properly support all o1 models regardless of	rule
87	aider	models-routing	feat	annotated	M18 | ~~文档附着族~~ **✅已落 `ac18d6a`（零依	dedup-l
88	aider	models-routing	other	noise	model/provider line: Aider uses Sonnet 10/22 by default.	rule
89	aider	models-routing	feat	noise	model/provider line: Improved support for o1 models by more	rule
90	aider	models-routing	other	noise	model/provider line: Model settings for o1 models on azure.	rule
91	aider	models-routing	other	noise	model/provider line: Use a strong reasoning model like o1-preview	rule
92	aider	models-routing	perf	boundary	saas-3p: Use a cheaper faster model like gpt-4o	rule
93	aider	models-routing	feat	noise	o1 shortcuts internal	manual
94	aider	models-routing	feat	annotated	持久化 | `~/.gemini` 会话+checkpoint；压缩	dedup-l
95	aider	models-routing	feat	noise	model/provider line: Better support for Qwen 2.5 models.	rule
96	aider	models-routing	feat	noise	model/provider line: Support for OpenAI o1 models:	rule
97	aider	models-routing	other	annotated	插件版本 diff/下载/编辑/直链 | 变体（skill_mana	dedup-l
98	aider	models-routing	other	annotated	插件版本 diff/下载/编辑/直链 | 变体（skill_mana	dedup-l
99	aider	models-routing	other	noise	model/provider line: aider --model o1-mini	rule
100	aider	models-routing	other	noise	model/provider line: aider --model o1-preview	rule
101	aider	models-routing	feat	noise	pr-meta: Enables prompt caching for Sonnet via OpenRouter	rule
102	aider	models-routing	feat	noise	model/provider line: Enables 8k output tokens for Sonnet via	rule
103	aider	models-routing	feat	noise	model/provider line: Added model settings for gemini/gemini-1.5-pro-exp-0827 and	rule
104	aider	models-routing	other	noise	model/provider line: gemini/gemini-1.5-flash-exp-0827.	rule
105	aider	models-routing	other	noise	model/provider line: Stronger prompting for Sonnet to make edits	rule
106	aider	models-routing	feat	annotated	模型 | 多厂 lineup+TRAE Auto Model 路由+	dedup-l
107	aider	models-routing	other	noise	model/provider line: Default OpenAI model is now gpt-4o-2024-08-06.	rule
108	aider	models-routing	perf	noise	model/provider line: Prompt caching for Anthropic models with --cache-prompts.	rule
109	aider	models-routing	other	noise	model/provider line: Improved retries on API errors was easy	rule
110	aider	models-routing	feat	noise	titleline: Added --mini for gpt-4o-mini.	rule
111	aider	models-routing	feat	noise	model/provider line: Added openai/gpt-4o-2024-08-06.	rule
112	aider	models-routing	feat	annotated	**缺口小结**: 可迁移 = **AskUserQuestion 结构	dedup-l
113	aider	models-routing	feat	noise	model/provider line: Aider already supported infinite output from Sonnet.	rule
114	aider	models-routing	other	noise	model/provider line: Allow Claude 3.5 Sonnet to stream back	rule
115	aider	models-routing	other	noise	model/provider line: Aider now uses claude-3-5-sonnet-20240620 by default if	rule
116	aider	models-routing	feat	annotated	18. 图片附件字节嗅探是否覆盖声明 MIME（zip 标 image）	dedup-l
117	aider	models-routing	other	noise	model/provider line: Automatically retry on Anthropic overloaded_error.	rule
118	aider	models-routing	other	noise	model/provider line: Improved prompting to discourage Sonnet from wasting	rule
119	aider	models-routing	other	noise	model/provider line: Use --sonnet for Claude 3.5 Sonnet which	rule
120	aider	models-routing	other	noise	titleline: Aider now uses GPT-4o by default.	rule
121	aider	models-routing	other	noise	model/provider line: GPT-4o tops the aider LLM code editing	rule
122	aider	models-routing	other	noise	model/provider line: GPT-4o takes second on aiders refactoring leaderboard	rule
123	aider	models-routing	feat	noise	model/provider line: Added explicit model settings for openrouter/anthropic/claud	rule
124	aider	models-routing	feat	annotated	模型 | GLM/DeepSeek 内建+企业自注册模型（OpenA	dedup-l
125	aider	models-routing	feat	variant	Gemini 1.5 Pro diff-fenced edit format	dedup-h
126	aider	models-routing	feat	annotated	插件版本 diff/下载/编辑/直链 | 变体（skill_mana	dedup-l
127	aider	models-routing	feat	noise	model/provider line: Added Gemini 1.5 Pro as a recommended	rule
128	aider	models-routing	feat	annotated	执行 | `auto` 模式分类器自动批准（后台安全检查） | ❌	dedup-l
129	aider	models-routing	other	noise	model/provider line: --sonnet	rule
130	aider	models-routing	other	noise	model/provider line: --anthropic-api-key	rule
131	aider	models-routing	feat	noise	provider/模型目录更新	dedup-l
132	aider	models-routing	other	noise	model/provider line: Benchmarked at 61.7 on Exercism benchmark comparable	rule
133	aider	models-routing	other	noise	model/provider line: Benchmarked at 34.1 on the refactoring/laziness benchmark	rule
134	aider	models-routing	perf	noise	model/provider line: Aider continues to default to gpt-4-1106-preview as	rule
135	aider	models-routing	fix	noise	model/provider line: Bugfix: Show clear error message when OpenAI	rule
136	aider	models-routing	other	noise	model/provider line: Use GPT-4 Turbo by default.	rule
137	aider	models-routing	feat	noise	model/provider line: Added -3 and -4 switches to use	rule
138	aider	models-routing	feat	noise	model/provider line: Added --openai-organization-id argument.	rule
139	aider	models-routing	other	noise	model-catalog: Updated all OpenAI model names pricing info	rule
140	aider	models-routing	other	noise	model/provider line: Default GPT 3.5 model is now gpt-3.5-turbo-0125.	rule
141	aider	models-routing	feat	noise	--model gpt-4-0125/4turbo别名	dedup-h
142	aider	models-routing	feat	annotated	memory write 名/id FK 崩溃修复 | 踩坑：API	dedup-l
143	aider	models-routing	feat	noise	pr-meta: Add images to the chat to automatically	rule
144	aider	models-routing	perf	annotated	D6 | 逐改动 revert 面板 | 自行排期 → **已落地*	dedup-l
145	aider	models-routing	other	noise	model/provider line: Aider now uses unified diffs by default	rule
146	aider	models-routing	feat	annotated	扩展 | **in-process TS 扩展**（jiti 免构建	dedup-l
147	aider	models-routing	feat	noise	model/provider line: Upgraded to new openai python client v1.3.7.	rule
148	aider	models-routing	other	noise	model/provider line: Improved prompting for both GPT-4 and GPT-4	rule
149	aider	models-routing	other	noise	model/provider line: Far fewer edit errors from GPT-4 Turbo	rule
150	aider	models-routing	perf	noise	model/provider line: Significantly better benchmark results from the June	rule
151	aider	models-routing	feat	annotated	OpenAI 式工具丢失→统一 tool_call 协议 | 踩坑：	dedup-l
152	aider	models-routing	feat	noise	model/provider line: Benchmarks for OpenAIs new 11/06 models	rule
153	aider	models-routing	feat	annotated	### 28.15 中档批次 2（2026-09-21，commit 5	dedup-l
154	aider	models-routing	fix	noise	model/provider line: Benchmarked at 63.2 for gpt-4/diff no regression.	rule
155	aider	models-routing	fix	noise	model/provider line: Benchmarked at 53.4 for gpt-3.5/whole no regression.	rule
156	aider	models-routing	fix	noise	model/provider line: Stronger GPT-3.5 prompt against skipping/eliding code in	rule
157	aider	models-routing	other	noise	model/provider line: Defend against GPT-3.5 or non-OpenAI models suggesting	rule
158	aider	models-routing	fix	noise	model/provider line: Benchmarked at 64.7 for gpt-4/diff no regression	rule
159	aider	models-routing	feat	noise	model/provider line: Support for the OpenAI models in Azure	rule
160	aider	models-routing	other	noise	model/provider line: Improved output when retrying connections to the	rule
161	aider	models-routing	other	noise	provider-meta: Redacted api key from --verbose output	rule
162	aider	models-routing	other	noise	model/provider line: Benchmarked at 53.8 for gpt-3.5-turbo/whole	rule
163	aider	models-routing	fix	noise	model/provider line: Bugfix/improvement to whole edit format may improve	rule
164	aider	models-routing	fix	noise	model/provider line: Bugfix so that aider throws an exception	rule
165	aider	models-routing	other	noise	model/provider line: Disabled general availability of gpt-4 its rolling	rule
166	aider	models-routing	other	noise	model/provider line: Marked GPT-4 as generally available	rule
167	aider	models-routing	other	noise	model/provider line: Benchmark comparing code editing in GPT-3.5 and	rule
168	aider	models-routing	other	noise	model/provider line: Disabled general availability of gpt-4 it is	rule
169	aider	models-routing	fix	noise	model/provider line: Fixed a bug in the display of	rule
170	aider	models-routing	feat	noise	model/provider line: Enables display of cost info based on	rule
171	aider	models-routing	fix	noise	model/provider line: Fixed a bug in the display of	rule
172	aider	models-routing	feat	noise	model/provider line: Support for gpt-3.5-turbo-16k and all OpenAI chat	rule
173	aider	models-routing	feat	annotated	memory write 名/id FK 崩溃修复 | 踩坑：API	dedup-l
174	aider	models-routing	feat	noise	provider/模型目录更新	dedup-l
175	aider	sessions-history	other	boundary	/clear confirm — their UI	manual
176	aider	sessions-history	fix	annotated	三 scope rewind+分叉点 | ZCode EscEsc（	dedup-l
177	aider	sessions-history	other	boundary	history tokens limit — their product	manual
178	aider	sessions-history	feat	annotated	执行 | 权限=capability×effect(deny>ask	dedup-l
179	aider	sessions-history	feat	annotated	消息 hover 时间戳、图片点击全尺寸、文件路径可点进 Files	dedup-l
180	aider	sessions-history	fix	noise	prose-fix: Bug fix for chat history size in	rule
181	aider	sessions-history	fix	noise	session cost /ask internal	manual
182	aider	sessions-history	perf	dup	repo map基于chat history+files优化 — repo map	dedup-h
183	aider	sessions-history	feat	dup	--restore-chat-history — session restore	dedup-h
184	aider	sessions-history	other	annotated	prompt history 200 帽 | **候选（薄）**：输	dedup-l
185	aider	sessions-history	feat	annotated	conversation tags/归档、上下文用量表+手动压缩、p	dedup-l
186	aider	git-pr-ci	other	annotated	### 28.15 中档批次 2（2026-09-21，commit 5	dedup-l
187	aider	git-pr-ci	fix	noise	commit msg prefix internal	manual
188	aider	git-pr-ci	feat	annotated	### 28.15 中档批次 2（2026-09-21，commit 5	dedup-l
189	aider	git-pr-ci	other	noise	prose-fix: Improved GitHub Copilot token handling with better	rule
190	aider	git-pr-ci	fix	annotated	执行 | **Smart 模式**：快模型判"明确安全"动作+硬编码	dedup-l
191	aider	git-pr-ci	other	annotated	### 28.15 中档批次 2（2026-09-21，commit 5	dedup-l
192	aider	git-pr-ci	other	noise	model-catalog: Displayed a spinner with the model name	rule
193	aider	git-pr-ci	feat	annotated	### 28.15 中档批次 2（2026-09-21，commit 5	dedup-l
194	aider	git-pr-ci	other	annotated	### 28.15 中档批次 2（2026-09-21，commit 5	dedup-l
195	aider	git-pr-ci	other	noise	pr-meta: Explicit --attribute-author or --attribute-committer flags n	rule
196	aider	git-pr-ci	fix	noise	i18n: Fix bug preventing UnboundLocalError during git tree	rule
197	aider	git-pr-ci	other	noise	prose-fix: Handle GitCommandNotFound error if git is not	rule
198	aider	git-pr-ci	feat	annotated	### 28.15 中档批次 2（2026-09-21，commit 5	dedup-l
199	aider	git-pr-ci	fix	noise	zhfix: Fixed handling of GitCommandError when retrieving git	rule
200	aider	git-pr-ci	fix	noise	zhfix: Fixed handling of Git errors when reading	rule
201	aider	git-pr-ci	fix	noise	prose-fix: Fixed Git identity retrieval to respect global	rule
202	aider	git-pr-ci	other	noise	prose-fix: Remove think tags from R1 responses for	rule
203	aider	git-pr-ci	other	noise	prose-fix: Improved handling of git repo index errors	rule
204	aider	git-pr-ci	feat	noise	git AssertionError internal	manual
205	aider	git-pr-ci	feat	noise	git AttributeError internal	manual
206	aider	git-pr-ci	other	noise	git unicode paths internal	manual
207	aider	git-pr-ci	feat	dup	run without git — 无git降级已有	manual
208	aider	git-pr-ci	other	annotated	执行 | **git 自动提交每次编辑→`/undo`=机械 git	dedup-l
209	aider	git-pr-ci	fix	noise	zhfix: Fixed bug in git ignored file handling.	rule
210	aider	git-pr-ci	other	noise	prose-fix: Improved error handling for git operations.	rule
211	aider	git-pr-ci	other	noise	titleline: Improved commit message prompt.	rule
212	aider	git-pr-ci	other	noise	prose-fix: Improved sanity check of git repo on	rule
213	aider	git-pr-ci	other	noise	prose-fix: Removed No changes made to git tracked	rule
214	aider	git-pr-ci	feat	annotated	agent 驱动内置浏览器 | 同构（browser 工具族已配置即	dedup-l
215	aider	git-pr-ci	other	boundary	prefilled issue — their product	manual
216	aider	git-pr-ci	other	noise	git repo sanity internal	manual
217	aider	git-pr-ci	other	noise	prose-fix: Adopted setuptools_scm to provide vX.Y.Z.dev version naming	rule
218	aider	git-pr-ci	other	dup	refuse git repo in $HOME — 边界检查已有	manual
219	aider	git-pr-ci	feat	annotated	侧栏特性族：Goal/Scheduled Tasks/Channel	dedup-l
220	aider	git-pr-ci	feat	noise	prose-fix: Improved error messages on attempt to add	rule
221	aider	git-pr-ci	fix	noise	auto commit sequencing internal	manual
222	aider	git-pr-ci	feat	annotated	M86 ambient context | **落地**——cont	dedup-l
223	aider	git-pr-ci	other	noise	prose-fix: Enhanced commit message attribution options:	rule
224	aider	git-pr-ci	fix	annotated	### 28.15 中档批次 2（2026-09-21，commit 5	dedup-l
225	aider	git-pr-ci	fix	annotated	### 28.15 中档批次 2（2026-09-21，commit 5	dedup-l
226	aider	git-pr-ci	other	annotated	### 28.15 中档批次 2（2026-09-21，commit 5	dedup-l
227	aider	git-pr-ci	other	noise	commit message internal	manual
228	aider	git-pr-ci	feat	annotated	### 28.15 中档批次 2（2026-09-21，commit 5	dedup-l
229	aider	git-pr-ci	feat	cand	--commit-prompt自定义commit message prompt	dedup-h
230	aider	git-pr-ci	feat	annotated	### 28.15 中档批次 2（2026-09-21，commit 5	dedup-l
231	aider	git-pr-ci	other	noise	prose-fix: Improved lint flow now doing code edit	rule
232	aider	git-pr-ci	other	noise	prose-fix: Updated commit message prompt to use imperative	rule
233	aider	git-pr-ci	other	annotated	### 28.15 中档批次 2（2026-09-21，commit 5	dedup-l
234	aider	git-pr-ci	other	annotated	#14 sign-out 凭证复活 | **真坑已修**：auth_	dedup-l
235	aider	git-pr-ci	fix	noise	titleline: Bugfix affecting launch with --no-git.	rule
236	aider	git-pr-ci	perf	noise	prose-fix: Faster auto-complete in large git repos users	rule
237	aider	git-pr-ci	fix	annotated	### 28.15 中档批次 2（2026-09-21，commit 5	dedup-l
238	aider	git-pr-ci	fix	boundary	chat-platform: Fixed regression in quality of one-line commit	rule
239	aider	git-pr-ci	other	boundary	git author names — their product	manual
240	aider	git-pr-ci	fix	boundary	commit prefix — their product	manual
241	aider	git-pr-ci	other	boundary	chat-platform: Single line commit messages without the recent	rule
242	aider	git-pr-ci	other	noise	titleline: Ensure --commit --dry-run does nothing.	rule
243	aider	git-pr-ci	other	noise	prose-fix: Updated prompting to use more natural phrasing	rule
244	aider	git-pr-ci	fix	dup	/undo only last commit files — 撤销范围已有	manual
245	aider	git-pr-ci	fix	noise	prose-fix: Bug fix to avoid reflecting local git	rule
246	aider	git-pr-ci	other	noise	prose-fix: Improved logic for opening git repo on	rule
247	aider	git-pr-ci	fix	noise	marketing: Prevents bug where subsequent git commit of	rule
248	aider	git-pr-ci	feat	annotated	上下文 | AGENTS.md+.goosehints+@file	dedup-l
249	aider	git-pr-ci	feat	annotated	消息 hover 时间戳、图片点击全尺寸、文件路径可点进 Files	dedup-l
250	aider	git-pr-ci	other	boundary	relative paths hint — their product	manual
251	aider	git-pr-ci	other	dup	commit only dirty edited — 提交范围已有	manual
252	aider	git-pr-ci	fix	noise	空repo新文件commit message修复	dedup-h
253	aider	git-pr-ci	fix	annotated	非视觉模型附着图片被静默丢弃→校验+提示 | 踩坑：N8 能力门控已	dedup-l
254	aider	git-pr-ci	feat	noise	paths relative root internal	manual
255	aider	git-pr-ci	feat	dup	/git command — git集成已有	manual
256	aider	git-pr-ci	fix	annotated	消息 hover 时间戳、图片点击全尺寸、文件路径可点进 Files	dedup-l
257	aider	git-pr-ci	fix	noise	git unicode internal	manual
258	aider	git-pr-ci	other	boundary	git repo offer — their product	manual
259	aider	git-pr-ci	feat	noise	CI Windows internal	manual
260	aider	git-pr-ci	other	noise	URL noise internal	manual
261	aider	other	other	noise	marketing: Display model announcements with no-arg /model command.	rule
262	aider	other	other	noise	dep-bump: Bumped dependencies to pick up latest litellm1.75.0.	rule
263	aider	other	other	noise	aider% meta internal	manual
264	aider	other	feat	noise	model-provider-add: New Models	rule
265	aider	other	feat	annotated	**Claude Code 2.1.252→2.1.278**（~27	dedup-l
266	aider	other	other	noise	titleline: Repository Map	rule
267	aider	other	feat	boundary	IDE/编辑器/营销面	dedup-l
268	aider	other	feat	boundary	IDE/编辑器/营销面	dedup-l
269	aider	other	other	noise	prose-fix: Improved kebab-case identifier recognition in repository map	rule
270	aider	other	other	boundary	saas-3p: Improved inline code rendering in Rich markdown	rule
271	aider	other	fix	noise	prose-fix: Improved /read-only command to resolve literal paths	rule
272	aider	other	other	noise	pip check internal	manual
273	aider	other	other	noise	aider% meta internal	manual
274	aider	other	other	noise	fragment noise internal	manual
275	aider	other	other	noise	titleline: Core functionality improvements	rule
276	aider	other	other	noise	titleline: Quality of life improvements	rule
277	aider	other	other	boundary	/settings metadata — their product	manual
278	aider	other	fix	noise	i18n: Improved user language detection by correctly normalizing	rule
279	aider	other	fix	noise	i18n: Prevented aider from instructing the LLM to	rule
280	aider	other	other	noise	dep-bump: Bumped configargparse to 1.7.1 as 1.7 was	rule
281	aider	other	feat	boundary	IDE/编辑器/营销面	dedup-l
282	aider	other	feat	annotated	消息 hover 时间戳、图片点击全尺寸、文件路径可点进 Files	dedup-l
283	aider	other	fix	annotated	上下文 | 上下文文件拦截注入标记（`_scan_context_c	dedup-l
284	aider	other	feat	annotated	协作 | 无 subagent；benchmark runner 驱	dedup-l
285	aider	other	feat	annotated	开屏 | VS Code 侧栏+provider profiles（	dedup-l
286	aider	other	other	noise	model/provider line: Improved cost calculation using litellm.completion_cost wher	rule
287	aider	other	other	dup	/ask elide unchanging code — 输出省略已有	manual
288	aider	other	other	noise	prose-fix: Improved display of filenames in the prompt	rule
289	aider	other	feat	noise	titleline: Dropped support for Python 3.9.	rule
290	aider	other	other	noise	aider% meta internal	manual
291	aider,openclaw	other	other	noise	release-meta: Full release notes:	rule
292	aider	other	other	noise	URL noise internal	manual
293	aider	other	feat	boundary	GPT 4.1 support — their provider	manual
294	aider	other	feat	annotated	输入 | Agent 面板 composer + inline ed	dedup-l
295	aider	other	fix	noise	edit format select internal	manual
296	aider	other	feat	noise	model/provider line: Add alias optimus for openrouter/openrouter/optimus-alpha.	rule
297	aider	other	other	annotated	输入 | `@path` 引用、`!`bash 前缀直跑、`#`记忆	dedup-l
298	aider	other	other	noise	aider% meta internal	manual
299	aider	other	feat	annotated	开屏 | VS Code 侧栏+provider profiles（	dedup-l
300	aider	other	other	noise	model/provider line: Currently free on OpenRouter.	rule
301	aider	other	other	noise	benchmark meta internal	manual
302	aider	other	other	noise	titleline: Run with aider --model quasar	rule
303	aider	other	other	boundary	saas-billing: Improve URL detection to exclude trailing double	rule
304	aider	other	other	noise	prose-fix: Updated deps for yanked fsspec and aiohttp	rule
305	aider	other	other	noise	aider% meta internal	manual
306	aider	other	other	noise	model/provider line: Select OpenRouter default model based on free/paid	rule
307	aider	other	other	dup	repomap boost chat identifiers — 仓库图已有	manual
308	aider	other	other	annotated	上下文 | 图片/PDF vision 附着、/web 抓页 | 🟡	dedup-l
309	aider	other	feat	dup	/model切换时edit format跟随新model默认 — format跟随	dedup-h
310	aider	other	feat	annotated	协作 | architect 双模型管道（主模型规划→editor	dedup-l
311	aider	other	feat	annotated	M58 glob/路径穿越 | **已有**——自有文件面全限定（f	dedup-l
312	aider	other	other	noise	prose-fix: Handle FileNotFoundError if the current working directory	rule
313	aider	other	other	noise	aider% meta internal	manual
314	aider	other	feat	annotated	上下文 | `/compact`+自动压缩+`/context` 组	dedup-l
315	aider	other	feat	annotated	协作 | architect 双模型管道（主模型规划→editor	dedup-l
316	aider	other	other	noise	aider% meta internal	manual
317	aider	other	feat	annotated	协作 | architect 双模型管道（主模型规划→editor	dedup-l
318	aider	other	feat	noise	model-provider-add: Annotated which models support reasoning_effort and thinking	rule
319	aider	other	other	boundary	ui-polish: Improved code block rendering in markdown output	rule
320	aider	other	feat	annotated	19. 审批卡渲染中 Enter 是否可批未加载完的内容	dedup-l
321	aider	other	feat	annotated	## 11. Gemini CLI（Google · CLI + a2a	dedup-l
322	aider	other	other	noise	docs: Updated exclude patterns for help documentation.	rule
323	aider	other	feat	noise	tree-sitter pack internal	manual
324	aider	other	feat	boundary	IDE/编辑器/营销面	dedup-l
325	aider	other	feat	annotated	> `harnesses/aider.md`；无工具调用的编辑格式多态+	dedup-l
326	aider	other	feat	annotated	Cline 压缩 1024 硬帽压死 reasoning | 待核（	dedup-l
327	aider	other	other	boundary	/think-tokens display — their product	manual
328	aider	other	other	noise	/drop read-only internal	manual
329	aider	other	perf	noise	prose-fix: Improved AutoCompleter to require 3 characters for	rule
330	aider	other	other	noise	aider% meta internal	manual
331	aider	other	feat	noise	model-provider-add: Improved support for thinking/reasoning models:	rule
332	aider	other	other	noise	prose-fix: Display thinking/reasoning content from LLMs which return	rule
333	aider	other	other	noise	prose-fix: Enhanced handling of reasoning tags to better	rule
