idx	score	cluster	src	verdict	detail	pass
45	20	sessions-history	s20	variant	session hooks API: branch事件并入session事件	manual
46	20	shell-tools	s20	boundary	#/canvas 终端瓦片无限画布	manual
47	20	shell-tools	s20	variant	stdin-prompt-stream批处理协议	manual
48	20	skills-plugins	s20	boundary	Zed extension registry	manual
49	20	skills-plugins	s20	noise	typebox 0.34迁移	manual
50	20	skills-plugins	s20	boundary	plugin SDK surface改名(extension-api移除)	manual
51	19	approval-gate	s19	dup	notify config option — notify exists	manual
52	19	approval-gate	s19	dup	agent message queuing默认+编辑/打断 — queue exists	manual
53	19	attachments	s19	boundary	project panel大项目perf(editor)	manual
54	19	bugfix	s19	noise	go test nested folder修复	manual
55	19	cli-flags	s19	boundary	daemon start/stop/status CLI	manual
56	19	file-edit	s19	cand	tool def prepareArguments hook（参数归一化钩子）	manual
57	19	git-pr-ci	s19	boundary	QQBot group chat全量支持	manual
58	19	mcp-tools	s19	variant	ACP-advertised slash commands面	manual
59	19	memory-context	s19	variant	发送前context usage检查(compact阈值)	manual
60	19	memory-context	s19	boundary	openclaw migrate dry-run/backup（其配置迁移）	manual
61	19	models-routing	s19	dup	project config pin model + persist switch — model_set	manual
62	19	orchestration	s19	variant	Active Memory插件(dedicated memory子代理)	manual
63	19	orchestration	s19	cand	plugins贡献rules/hooks/MCP/subagents — 扩展面	manual
64	19	orchestration	s19	dup	CODEBUDDY_REPL沙箱脚本编排 — js_repl已实装(M114)	manual
65	19	perf	s19	boundary	--startup-prof-md启动剖析报告	manual
66	19	remote-cloud	s19	boundary	project panel perf(remote)	manual
67	19	remote-cloud	s19	boundary	subpixel文本渲染	manual
68	19	remote-cloud	s19	boundary	edit prediction providers	manual
69	19	remote-cloud	s19	boundary	self-hosted edit predictions	manual
70	19	sandbox-exec	s19	boundary	plugin-sdk agent-runtime test fixtures	manual
71	19	scheduling	s19	boundary	embedding批次拆分(向量memory)	manual
72	19	scheduling	s19	dup	queue/drain lane加固 — queue exists	manual
73	19	sessions-history	s19	boundary	AgentSessionRuntime SDK closure	manual
74	19	sessions-history	s19	cand	session export命令(markdown/html/quarto全量导出)	manual
75	19	shell-tools	s19	boundary	V3 dashboard会话浏览	manual
76	18	approval-gate	s18	dup	exec-approvals.json per-agent allowlists — M146/tools_deny	manual
77	18	approval-gate	s18	dup	REPL auto-mode授权 — js_repl归exec族	manual
78	18	approval-gate	s18	boundary	telegram groups空map语义	manual
79	18	attachments	s18	noise	其自身测试命令注记	manual
80	18	bugfix	s18	dup	context-limit自动恢复 — compaction	manual
81	18	bugfix	s18	dup	auth persistence queue生命周期	manual
82	18	file-edit	s18	dup	model-facing config.patch拒绝启用工具 — config守护	manual
83	18	git-pr-ci	s18	boundary	file history视图(editor)	manual
84	18	git-pr-ci	s18	boundary	git panel branch history/custom commands	manual
85	18	git-pr-ci	s18	boundary	stash picker/amend commit	manual
86	18	memory-context	s18	variant	pluggable memory provider接口(第三方backend)	manual
87	18	models-routing	s18	boundary	provider-executed web search	manual
88	18	models-routing	s18	dup	credential-surface hardening — G批同源	manual
89	18	orchestration	s18	boundary	A2A v1.0 plugin	manual
90	18	orchestration	s18	boundary	Ink TUI rewrite	manual
91	18	orchestration	s18	cand	Team: teammate idle awareness(查询队友实时状态)	manual
92	18	orchestration	s18	boundary	MCP command center桌面页	manual
93	18	other	s18	noise	rust-analyzer PATH查找	manual
94	18	other	s18	dup	openclaw secrets工作流(audit/configure/apply/reload) — secrets infra	manual
95	18	sandbox-exec	s18	dup	CONFIG_DIR隔离 — config dir隔离	manual
96	18	sessions-history	s18	variant	空输入框左箭头开agent view手势	manual
97	18	shell-tools	s18	boundary	/api/v1/storage UI state API	manual
98	18	shell-tools	s18	dup	status表provider详情	manual
99	18	shell-tools	s18	dup	chat stream buffer reconcile	manual
100	18	shell-tools	s18	cand	plugins注册slash commands+dispatch tools — 扩展命令面	manual
101	18	shell-tools	s18	noise	stdin stream任务创建bug	manual
102	18	skills-plugins	s18	dup	browser token expiry + idempotency dedupe — G族	manual
103	18	skills-plugins	s18	boundary	plugin-sdk测试helpers	manual
104	18	skills-plugins	s18	dup	versioned ClawPack artifacts digest — manifest sha256同源	manual
105	18	skills-plugins	s18	boundary	kiro config sync	manual
106	17	api-sdk	s17	boundary	HTTP API文档	manual
107	17	approval-gate	s17	dup	Ctrl+P fuzzy palette + /model过滤 — M127批4在途	manual
108	17	approval-gate	s17	boundary	codex native web-search metadata	manual
109	17	approval-gate	s17	cand	hooks: before_tool_call async requireApproval(钩→ask升级)	manual
110	17	approval-gate	s17	dup	node-scoped session capability URLs — auth scoping	manual
111	17	approval-gate	s17	boundary	desktop e2e testing	manual
112	17	approval-gate	s17	boundary	Windows Agent mode	manual
113	17	attachments	s17	boundary	fal image edit routing	manual
114	17	cli-flags	s17	dup	pre-generation 429/5xx指数退避 — retry exists	manual
115	17	mcp-tools	s17	dup	prewarm MCP user-config加载	manual
116	17	mcp-tools	s17	dup	MCP plug-and-play — mcp extension exists	manual
117	17	memory-context	s17	dup	--list-models fuzzy search — model list	manual
118	17	memory-context	s17	dup	memory_get canonical-file allowlist — memory boundary	manual
119	17	memory-context	s17	dup	thread/turn记录git info+cwd+version — session metadata	manual
120	17	models-routing	s17	boundary	image --background flag	manual
121	17	models-routing	s17	boundary	discord voice logs	manual
122	17	models-routing	s17	dup	import Claude Code/Codex/opencode历史 — session_import exists	manual
123	17	models-routing	s17	noise	getApiKeyAndHeaders改名(其SDK)	manual
124	17	models-routing	s17	boundary	HuggingFace provider	manual
125	17	models-routing	s17	noise	xiaomi provider端点切换	manual
126	17	models-routing	s17	boundary	per-agent TTS voices	manual
127	17	models-routing	s17	boundary	Termux/iMessage/WeChat + fast mode	manual
128	17	orchestration	s17	boundary	provider/media coverage wave	manual
129	17	orchestration	s17	dup	session start mode(user/automation/subagent/team) — provenance	manual
130	17	other	s17	boundary	npm scope self-update迁移	manual
131	17	remote-cloud	s17	cand	remote-mcp: Settings OAuth授权流	manual
132	17	sandbox-exec	s17	variant	file:line range在编辑器打开	manual
133	17	sandbox-exec	s17	dup	browser snapshot URL SSRF校验 — G4	manual
134	17	scheduling	s17	dup	strict numeric/date解析	manual
135	17	scheduling	s17	variant	cron整点deterministic默认stagger	manual
136	17	scheduling	s17	boundary	简体中文desktop UI	manual
137	17	scheduling	s17	dup	security wave redaction默认ON — M116同源	manual
138	17	search-index	s17	boundary	REST API程序化session	manual
139	17	sessions-history	s17	dup	/fork+/branch命令 — session_rewind/fork exists	manual
140	17	sessions-history	s17	dup	preview+execute全轮回滚 — /reset preview	manual
141	17	sessions-history	s17	dup	checkpoint真workspace rewind — session_rewind	manual
142	17	sessions-history	s17	dup	new task idle-state publish	manual
143	17	shell-tools	s17	cand	model-invoked内置slash commands(/clear/model/config/resume)	manual
144	17	shell-tools	s17	noise	mixed A2A stdout静默修复	manual
145	17	shell-tools	s17	dup	skill installer metadata regex allowlists — manifest校验	manual
146	17	skills-plugins	s17	cand	delegate-params: skill/command/subagent frontmatter model字段	manual
147	17	skills-plugins	s17	variant	skill tool模型调用 vs 我方microagent注入	manual
148	17	skills-plugins	s17	dup	queue busy TUI prompts — queue	manual
149	17	skills-plugins	s17	boundary	marketplace auto-update toggle	manual
150	17	ui-ux	s17	noise	parallel-agents sidebar迁移bug	manual
151	16	api-sdk	s16	boundary	UUIDv7 turn ID via _meta	manual
152	16	approval-gate	s16	boundary	voice input error toast	manual
153	16	approval-gate	s16	variant	exec-policy show/preset/set CLI	manual
154	16	approval-gate	s16	cand	approval prompt内"Edit command"微调后批准	manual
155	16	approval-gate	s16	dup	MEDIA: passthrough锚定raw tool name — untrusted锚定	manual
156	16	approval-gate	s16	dup	untrusted group prompt元数据出system prompt — M147	manual
157	16	approval-gate	s16	boundary	iMessage thumb-approval reactions	manual
158	16	attachments	s16	boundary	audio设备选择	manual
159	16	file-edit	s16	noise	冗余patch测试移除	manual
160	16	git-pr-ci	s16	boundary	Ask Devin codebase Q&A	manual
161	16	git-pr-ci	s16	boundary	WhatsApp per-group systemPrompt	manual
162	16	git-pr-ci	s16	dup	--serve默认随机密码 — server token auth	manual
163	16	mcp-tools	s16	boundary	CBC account OAuth多登录方式	manual
164	16	mcp-tools	s16	dup	malformed options fail-fast — validation	manual
165	16	mcp-tools	s16	cand	remote-mcp: gateway proxy OAuth token exchange	manual
166	16	mcp-tools	s16	dup	malformed JSON retry cleanup — provider robustness	manual
167	16	mcp-tools	s16	cand	remote-mcp: mcp add positional URL(claude code兼容语法)	manual
168	16	memory-context	s16	variant	active-memory toolsAllow recall config	manual
169	16	memory-context	s16	boundary	VS Code SDK runtime	manual
170	16	memory-context	s16	variant	per-session context budget tier选择	manual
171	16	memory-context	s16	boundary	memory-wiki stack恢复	manual
172	16	memory-context	s16	cand	--no-session-persistence内存态会话(ephemeral)	manual
173	16	memory-context	s16	dup	context window增长警告 — context surfacing	manual
174	16	models-routing	s16	dup	generic SDK provider settings model picker	manual
175	16	models-routing	s16	cand	provider-failover: same-provider链在model不同时保持	manual
176	16	models-routing	s16	dup	auth-profile rate-limit重试封顶 — retry caps	manual
177	16	models-routing	s16	boundary	semantic search repository(向量)	manual
178	16	models-routing	s16	boundary	palette history/git remotes(editor)	manual
179	16	models-routing	s16	boundary	Claude Haiku+git stash view	manual
180	16	models-routing	s16	boundary	vision+project search(editor wave)	manual
181	16	models-routing	s16	cand	provider-failover: media跨provider自动fallback	manual
182	16	orchestration	s16	dup	root_request_id W3C baggage — tracing	manual
183	16	orchestration	s16	noise	rollup模块化	manual
184	16	remote-cloud	s16	boundary	Copilot embedding provider(memory)	manual
185	16	remote-cloud	s16	dup	hook forwarding不再throttle stream — 其架构perf	manual
186	16	remote-cloud	s16	boundary	SuperGrok OAuth 1M context	manual
187	16	sandbox-exec	s16	boundary	移除legacy chrome extension relay	manual
188	16	sandbox-exec	s16	boundary	Feishu group session scopes	manual
189	16	sandbox-exec	s16	variant	tool profiles+group shorthands in sandbox policy	manual
190	16	sandbox-exec	s16	dup	steer control_request注入消息 — steer exists	manual
191	16	scheduling	s16	dup	heartbeat gating+/stop在tool call间 — stop exists	manual
192	16	scheduling	s16	dup	cron agents加载/更新persistent memory — 调度agent同样具memory工具	manual
193	16	scheduling	s16	dup	cron isolated delivery收紧 — schedule delivery	manual
194	16	scheduling	s16	boundary	Cline Desktop task import	manual
195	16	scheduling	s16	dup	cron runner不整批阻塞 — schedule并发	manual
196	16	sessions-history	s16	dup	prewarm missing built-in tools修复	manual
197	16	sessions-history	s16	cand	session-insights: session分析+knowledge管理	manual
198	16	shell-tools	s16	boundary	ACPX agent registry对齐	manual
199	16	shell-tools	s16	boundary	Android onboarding/five-tab shell	manual
200	16	shell-tools	s16	boundary	macOS IME支持	manual
201	16	skills-plugins	s16	boundary	Ruff extension	manual
202	16	skills-plugins	s16	cand	hook-events: session_directory extension event(自定义session目录)	manual
203	16	skills-plugins	s16	dup	~/.agents/plugins发现+manifest校验 — compat dirs已实装	manual
204	16	skills-plugins	s16	dup	MV3 worker debugger attachment跨relay保活 — browser relay韧性	manual
205	16	skills-plugins	s16	boundary	dashboard profile builder	manual
206	16	skills-plugins	s16	dup	gateway bearer per-request解析 — auth	manual
207	16	skills-plugins	s16	noise	prepared handles/schemas perf	manual
208	16	skills-plugins	s16	boundary	plugin-sdk command-status子路径	manual
209	16	skills-plugins	s16	boundary	/api/v1/plugins/update API	manual
210	16	skills-plugins	s16	noise	bundle session互斥bug	manual
211	16	skills-plugins	s16	dup	agent skills+global AGENTS.md — compat dirs已实装	manual
212	16	skills-plugins	s16	boundary	xAI Responses API+x_search	manual
213	16	ui-ux	s16	boundary	turn-end正/负反馈按钮(评分UX)	manual
214	16	ui-ux	s16	noise	/mode→/agent-mode改名	manual
215	15	approval-gate	s15	dup	custom model管理settings页 — model management	manual
216	15	approval-gate	s15	dup	rejection时trace UI空态修复 — observability	manual
217	15	approval-gate	s15	variant	"always allow in ALL projects"全局授权 vs 我方session域	manual
218	15	approval-gate	s15	dup	Configure Behaviors settings — behavior config	manual
219	15	approval-gate	s15	boundary	experimental exp exec model	manual
220	15	approval-gate	s15	boundary	claude code provider native tools修复	manual
221	15	approval-gate	s15	boundary	Kylin OS KYSEC trusted execution	manual
222	15	approval-gate	s15	dup	run结束退役one-shot bundled MCP runtime — mcp lifecycle	manual
223	15	approval-gate	s15	dup	codex OAuth scopes+failure分类	manual
224	15	approval-gate	s15	dup	ExitPlanMode批准展示plan内容 — plan mode	manual
225	15	approval-gate	s15	boundary	plugin-sdk channel route helpers	manual
226	15	approval-gate	s15	dup	protected agent-instruction files — file boundary已实装	manual
227	15	approval-gate	s15	dup	smart approvals LLM reviewer默认 — judgeCall guardian已实装	manual
228	15	approval-gate	s15	cand	worktree: Dev Containers+worktree trust机制	manual
229	15	attachments	s15	boundary	discord event cover image	manual
230	15	bugfix	s15	dup	max output token fallback — capability defaults	manual
231	15	cli-flags	s15	boundary	daemon CLI支持	manual
232	15	cli-flags	s15	dup	context_server_timeout config — mcp timeout	manual
233	15	cli-flags	s15	cand	proxy: config.json proxy.mode出站HTTP代理控制	manual
234	15	cli-flags	s15	dup	.clinerules项目指令文件 — rules files已实装	manual
235	15	file-edit	s15	dup	EditTool old_string=''新文件无限循环修复 — edit robustness	manual
236	15	file-edit	s15	noise	六provider+Muse Spark目录	manual
237	15	git-pr-ci	s15	boundary	desktop Projects侧边栏	manual
238	15	git-pr-ci	s15	cand	structured output: --output-schema JSON Schema	manual
239	15	git-pr-ci	s15	boundary	font rendering/vim panel nav	manual
240	15	git-pr-ci	s15	noise	同239项(intra-corpus重复发布)	manual
241	15	mcp-tools	s15	boundary	Crush self-config	manual
242	15	mcp-tools	s15	cand	mcp-server: 暴露自身为MCP server给外部client	manual
243	15	mcp-tools	s15	dup	MCP config ${VAR}环境展开 — env expansion	manual
244	15	mcp-tools	s15	dup	专用mcp_config.json — mcp config file	manual
245	15	memory-context	s15	boundary	custom model用量上报	manual
246	15	memory-context	s15	dup	context compression深改 — compaction	manual
247	15	memory-context	s15	boundary	跨session 1h Claude prompt cache	manual
248	15	memory-context	s15	dup	recalled memory行注入untrusted <memory>块(memory.js:297)+常驻untrusted-content-policy envelope — 已覆盖	manual
249	15	memory-context	s15	noise	Kimi-K2.6 model add	manual
250	15	memory-context	s15	dup	cached token usage转发	manual
251	15	memory-context	s15	boundary	@-mention目录token usage	manual
252	15	models-routing	s15	boundary	fast mode toggle(agent panel)	manual
253	15	models-routing	s15	noise	enterprise model list降级修复	manual
254	15	models-routing	s15	boundary	setup security disclaimer样式	manual
255	15	models-routing	s15	dup	WebSocket warm-up response.create — perf	manual
256	15	models-routing	s15	boundary	Magistral/screen selector	manual
257	15	models-routing	s15	boundary	bookmarks/git commit palette/GIF	manual
258	15	orchestration	s15	cand	orchestration: Workflow工具编排多sub-agent多步任务	manual
259	15	orchestration	s15	dup	ANNOUNCE_SKIP spawn completion — announce控制	manual
260	15	orchestration	s15	dup	selected agent/session command targeting	manual
261	15	orchestration	s15	boundary	live subagent watch-windows UI	manual
262	15	orchestration	s15	dup	plan approval dialog对齐 — plan mode	manual
263	15	orchestration	s15	dup	plan sub-agent toolset team tools	manual
264	15	other	s15	boundary	DeploySearch cmd-shift-f	manual
265	15	other	s15	dup	stream-json长连接background commands — background exec	manual
266	15	other	s15	dup	loopback browser control routes auth — G5族	manual
267	15	other	s15	dup	write-scope拒persistent profile create/delete — browser boundary	manual
268	15	remote-cloud	s15	dup	共享browser control runtime — browser arch	manual
269	15	remote-cloud	s15	boundary	mac remote setup预配置	manual
270	15	remote-cloud	s15	boundary	disable browser tool setting/Bedrock	manual
271	15	remote-cloud	s15	variant	WebFetch并发竞速 vs 串行fallback	manual
272	15	sandbox-exec	s15	dup	conversation-bound automations默认绑定 — automation scoping	manual
273	15	sandbox-exec	s15	noise	npm globstar打包排除	manual
274	15	sandbox-exec	s15	dup	multi-instance profiles — instance roots已实装	manual
275	15	sandbox-exec	s15	dup	config文件写保护 — file boundary已实装	manual
276	15	sandbox-exec	s15	dup	multi-instance+MCP server mode — instance已实装(docker属boundary)	manual
277	15	scheduling	s15	dup	sessionKey on outbound sends — provenance	manual
278	15	scheduling	s15	boundary	Teams media downloads	manual
279	15	scheduling	s15	boundary	OpenAI-compatible API server	manual
280	15	sessions-history	s15	cand	hook-events: TurnStarted/UserPromptQueued/TaskStarted/SessionHeartbeat	manual
281	15	sessions-history	s15	boundary	--prewarm standby mode	manual
282	15	sessions-history	s15	cand	provider-failover: text+image链在allowlist下保持可达	manual
283	15	sessions-history	s15	dup	checkpoint re-hash优化 — perf	manual
284	15	sessions-history	s15	boundary	structured output modal	manual
285	15	shell-tools	s15	dup	/add-dir空格路径解析 — arg parsing	manual
286	15	shell-tools	s15	cand	REPL !<command>操作员shell直跑(输出进context)	manual
287	15	shell-tools	s15	boundary	/theme picker(其TUI主题面)	manual
288	15	shell-tools	s15	boundary	tab bar+菜单标准actions	manual
289	15	shell-tools	s15	dup	code review agents结构化findings — structured review output	manual
290	15	shell-tools	s15	dup	/add-dir空格路径(同285)	manual
291	15	shell-tools	s15	noise	win32 input mode终端修复	manual
292	15	skills-plugins	s15	boundary	dashboard plugin system(其dashboard)	manual
293	15	skills-plugins	s15	dup	startup跳过plugin auth overlays secrets preflight — perf	manual
294	15	skills-plugins	s15	boundary	LINE group mention gating	manual
295	15	skills-plugins	s15	noise	hot path cache correctness	manual
296	15	skills-plugins	s15	boundary	bundled CLI inference defaults plugin surface	manual
297	15	skills-plugins	s15	dup	bundle MCP runnable tools in embedded Pi — mcp	manual
298	15	skills-plugins	s15	boundary	Continue VS Code final release	manual
299	15	skills-plugins	s15	dup	skills+global AGENTS.md — compat dirs已实装	manual
300	15	ui-ux	s15	dup	auto-retry transient errors — retry exists	manual
301	15	ui-ux	s15	dup	notify_on_complete background通知 — notify exists	manual
302	15	ui-ux	s15	boundary	zed: extensions command palette	manual
303	15	ui-ux	s15	cand	↑拉回queued message到编辑器 — queue-edit UX	manual
304	14	approval-gate	s14	boundary	a2a+stream-json同stdin双协议	manual
305	14	approval-gate	s14	boundary	SDK permission control	manual
306	14	approval-gate	s14	dup	collect-mode followup按auth context分组drain — channel auth	manual
307	14	approval-gate	s14	boundary	approval SDK breaking import	manual
308	14	approval-gate	s14	dup	CDP Target.getBrowserContexts compat — browser	manual
309	14	approval-gate	s14	boundary	openclaw attach/node context-path CLI	manual
310	14	approval-gate	s14	dup	exec-approvals.json security defaults — policy defaults	manual
311	14	approval-gate	s14	dup	approval runtime socket token共享 — auth	manual
312	14	approval-gate	s14	dup	node exec events标untrusted — M147已实装	manual
313	14	approval-gate	s14	variant	--mcp-config文件路径或直接JSON	manual
314	14	approval-gate	s14	dup	sub-agent仅plan锁定时见exit tool — plan scoping	manual
315	14	approval-gate	s14	dup	plugin LLM command auth绑定 — auth	manual
316	14	approval-gate	s14	boundary	file-transfer plugin tools	manual
317	14	approval-gate	s14	boundary	telegram ACP topic bindings	manual
318	14	approval-gate	s14	dup	terminal notifications(finish/input/approval) — notify已实装	manual
319	14	approval-gate	s14	boundary	SDK delayed control request sync	manual
320	14	approval-gate	s14	dup	dashboard session lineage+webchat backscroll — UI state	manual
321	14	approval-gate	s14	boundary	WeChat Work group chat	manual
322	14	attachments	s14	noise	GLM-5v-Turbo model add	manual
323	14	attachments	s14	dup	不支持图片flagged不静默丢弃 — capability honesty已实装	manual
324	14	attachments	s14	boundary	debugger waitlist	manual
325	14	attachments	s14	boundary	native debugger/zed --diff	manual
326	14	bugfix	s14	dup	New From Summary contextual mentions — summary mentions	manual
327	14	bugfix	s14	dup	model切换后auto-compression — compaction	manual
328	14	bugfix	s14	noise	LSP actions兼容注记	manual
329	14	bugfix	s14	boundary	custom-token auth env config	manual
330	14	bugfix	s14	noise	intranet auth 401修复	manual
331	14	bugfix	s14	noise	agent window内版本检查bug	manual
332	14	bugfix	s14	boundary	account sign-in prompt页	manual
333	14	cli-flags	s14	cand	state backup/verify CLI(openclaw backup create/verify)	manual
334	14	cli-flags	s14	dup	request lifecycle logging — audit/log	manual
335	14	git-pr-ci	s14	boundary	Enter key行为toggle	manual
336	14	git-pr-ci	s14	boundary	team task slash commands	manual
337	14	git-pr-ci	s14	noise	auth probe output polish	manual
338	14	git-pr-ci	s14	boundary	find-in-page Devin Review	manual
339	14	git-pr-ci	s14	boundary	git.diff_base setting	manual
340	14	git-pr-ci	s14	boundary	project search perf/branch from default	manual
341	14	i18n-l10n	s14	boundary	WeChat/WeCom callback adapters	manual
342	14	integrations	s14	boundary	Slack user-token normalization	manual
343	14	mcp-tools	s14	dup	/handoff live session transfer — handoff已实装	manual
344	14	mcp-tools	s14	dup	tool按Tool/MCP/custom启停 — tools_deny已实装	manual
345	14	mcp-tools	s14	boundary	embedding providers core/DeepInfra	manual
346	14	mcp-tools	s14	dup	Gemini OAuth project discovery fallback — auth	manual
347	14	mcp-tools	s14	cand	remote-mcp: transport"sse"legacy协议支持	manual
348	14	mcp-tools	s14	cand	remote-mcp: HTTP/SSE MCP隐式timeout修复	manual
349	14	mcp-tools	s14	dup	dashboard token端点auth加固 — auth	manual
350	14	mcp-tools	s14	cand	remote-mcp: pre-registered OAuth client(--oauth-client-id)	manual
351	14	mcp-tools	s14	variant	model ID注入MCP请求头(X-Model-*)	manual
352	14	mcp-tools	s14	variant	--allow-insecure-http明文MCP opt-in	manual
353	14	memory-context	s14	boundary	/journey学习timeline	manual
354	14	memory-context	s14	variant	memory file list summary注入system prompt vs 我方工具召回	manual
355	14	memory-context	s14	noise	Hy3 model add	manual
356	14	memory-context	s14	dup	request时复用plugin registry — perf	manual
357	14	memory-context	s14	dup	gateway auth-profile写竞态 — auth	manual
358	14	memory-context	s14	variant	pluggable compaction provider registry	manual
359	14	memory-context	s14	dup	emergency compression token-limit修复 — compaction	manual
360	14	memory-context	s14	dup	/new /reset memory artifacts绑workspace — memory scoping	manual
361	14	memory-context	s14	dup	stale agent_end ESC无响应修复 — turn lifecycle	manual
362	14	memory-context	s14	boundary	durable artifacts(文档/图作为artifact)	manual
363	14	memory-context	s14	boundary	Ollama embeddings memory	manual
364	14	memory-context	s14	boundary	sqlite-vec vs embedding readiness拆分	manual
365	14	memory-context	s14	boundary	vector search memory(已拒方向)	manual
366	14	memory-context	s14	dup	prompt cache prefix复用 — perf	manual
367	14	memory-context	s14	dup	compaction retry policy+branch summaries — compaction韧性	manual
368	14	memory-context	s14	dup	post-compaction卡死修复 — compaction	manual
369	14	memory-context	s14	boundary	/api/v1/metrics+envs	manual
370	14	memory-context	s14	dup	/compact手动触发 — compaction已实装	manual
371	14	memory-context	s14	boundary	video_generate URL delivery	manual
372	14	models-routing	s14	variant	websocket-cached transport(codex)	manual
373	14	models-routing	s14	dup	image description model静态catalog — image model config	manual
374	14	models-routing	s14	boundary	Moonshot video provider	manual
375	14	models-routing	s14	variant	/models add聊天侧注册model	manual
376	14	models-routing	s14	dup	provider-native web search默认(非yolo) — web search exists	manual
377	14	models-routing	s14	dup	bmp/tiff/ico→PNG重编码chokepoint — M137同源已实装	manual
378	14	models-routing	s14	boundary	Roo provider api-key	manual
379	14	models-routing	s14	dup	claude CLI凭据复用 — auth profile	manual
380	14	models-routing	s14	boundary	prompt_toolkit界面	manual
381	14	models-routing	s14	boundary	WhatsApp vCard	manual
382	14	orchestration	s14	dup	coder subagent toolset扩展(background/todo/plan) — delegate tools	manual
383	14	orchestration	s14	dup	account-scoped DM sends+media completions — delivery	manual
384	14	orchestration	s14	dup	session history root session可见性 — session listing	manual
385	14	orchestration	s14	variant	Project files跨session同步(B5文件级变体)	manual
386	14	other	s14	dup	daemon status summary — status	manual
387	14	other	s14	dup	Glob limit/offset分页 — glob pagination	manual
388	14	other	s14	boundary	registerProvider refreshModels config form	manual
389	14	other	s14	cand	proxy: operator-managed出站代理(proxy.enabled/OPENCLAW_PROXY_URL)	manual
390	14	perf	s14	cand	session-insights: /insights用量分析报告	manual
391	14	remote-cloud	s14	cand	remote-mcp: remote servers OAuth授权按钮	manual
392	14	remote-cloud	s14	boundary	remote Ollama URL+key	manual
393	14	remote-cloud	s14	boundary	remote dev server上跑MCP servers	manual
394	14	remote-cloud	s14	cand	remote-mcp: SSE/streamable 10s connect budget	manual
395	14	remote-cloud	s14	noise	prewarm argv/opts resolution顺序修复	manual
396	14	remote-cloud	s14	cand	remote-mcp: mcp.servers URL config+auth headers+redaction	manual
397	14	remote-cloud	s14	dup	plugin automation --json输出 — CLI json	manual
