src	id	grp	detail	item
dedup-h	524	mcp-tools	remote-mcp: mcp enable/disable子命令(--scope)	Control UI/Overview: add a Model Auth status card showing OAuth token health and provider rate-limit pressure at a glance, with attention callouts when OAuth to
dedup-h	535	memory-context	hook-events: session_before_compact/compact带reason context	Jules Memory for Repositories: We’re excited to introduce a new Memory feature! Jules now has the ability to learn from your interactions.
dedup-h	544	memory-context	state backup: sqlite create/list/verify/restore CLI	Agents/compaction: cap the compaction reserve-token floor to the model context window so small-context local models (e.g. Ollama with 16K tokens) no longer trig
dedup-h	560	models-routing	pdf tool: 原生PDF分析(provider+extraction fallback)	Onboarding/web search: add provider selection step and full provider list in configure wizard, with SecretRef ref-mode support during onboarding. (#34009) Thank
dedup-h	564	orchestration	delegate-params: AgentDefinition disallowedTools per-subagent	Today's release includes inline color previews, support for Vercel as a language model provider, enterprise support for GitHub Copilot, the latest Gemini 2.5 mo
dedup-h	565	orchestration	policy: per-group tool allow/deny跨channels	Skill Fork Context: Support context: fork configuration, allowing Skills to execute in an independent sub-agent context
dedup-h	571	other	Create New Task工具(模型自主开新任务) — session spawn	Channels: allow per-group tool allow/deny policies across built-in + plugin channels. (#1546) Thanks @adam91holt. https://docs.clawd.bot/multi-agent-sandbox-too
dedup-h	583	remote-cloud	remote-mcp: remote HTTP transport type	Skill scripts can now declare local files or remote resources produced during execution. When CodeBuddy Code is called as an A2A agent, it delivers these resour
dedup-h	590	sandbox-exec	worktree: --worktree//worktree隔离checkout	Experimental worktree support lets you create isolated checkouts for new or forked sessions using --worktree or /worktree, then browse and resume them. (#42652,
dedup-h	652	skills-plugins	platform-level tool descriptor planner(descriptor-first可见性)	Fixed the CLI/SDK tool-selection split so --no-builtin-tools and createAgentSession({ noTools: "builtin" }) disable only built-in default tools while keeping ex
dedup-h	655	ui-ux	orchestration: /deep-research多角度并行研究预设	Added a built-in deep research workflow and the /deep-research command. Users can launch multi-angle parallel research with a single sentence, and progress is u
dedup-h	670	approval-gate	request_permissions: turn内运行时请求权限工具	SDK Version Sync: SDK-JS updated to 0.3.20, SDK-Python updated to 0.3.18, both now support the new delayed control request feature
dedup-h	697	approval-gate	credentials: agent经masked prompt请求credential(值不进chat/model)	Conversational onboarding: Crestodian now runs a real agent-loop setup across the CLI, web install, and macOS app, with AI-guided provider setup, model-judged a
dedup-h	727	cli-flags	proxy: PAC/WPAD系统级代理支持	Command Exit Code in Events: The tool_result event for command executions now includes an exitCode field, allowing CLI consumers to programmatically distinguish
dedup-h	740	mcp-tools	remote-mcp: GitHub MCP OAuth device flow	Redesigned the Models page: providers are grouped into Connected, Popular, and All with their auth kind and configuration status instead of per-row toggles. OAu
dedup-h	753	memory-context	session-picker: /resume threaded按fork关系树形排序	Agent: Added MCP prompt support to agent threads. Prompts from MCP servers now appear in the slash command menu when typing / in agent threads. (#43523; thanks
dedup-h	820	orchestration	secrets: Bitwarden/1Password作为secret source	Plug your password manager into Hermes — Bitwarden & 1Password secret sources — API keys no longer have to live in a plaintext .env. A new pluggable SecretSourc
dedup-h	856	sandbox-exec	worktree: --worktree auto-create under ~/.cline/worktrees	This week's release includes a unified Git picker (combines branches, worktrees, and stashes), structured outline support for Markdown files, the ability to ope
dedup-h	884	sessions-history	hook-events: unstable_Checkpoint文件修改后自动触发	Introducing Devin for Teams:With our Team plan, your entire team can create, share and collaborate together in Devin sessions. The Team plan includes everything
dedup-h	895	sessions-history	session-insights: on-demand生成(非自动)	On-Demand Session InsightsSession insights are now generated on demand rather than automatically. You can trigger analysis from the Session Insights button in t
dedup-h	915	shell-tools	path-shadowing: jobs.js:505 shell:true spawn下cmd.exe先搜cwd,repo内git.exe/rg.exe可影子化已批准命令 — 待加NoDefaultCurrentDirectoryInExePath或绝对PATH解析	Plugins/bundles: add compatible Codex, Claude, and Cursor bundle discovery/install support, map bundle skills into OpenClaw skills, and apply Claude bundle sett
dedup-h	935	skills-plugins	hook-events: input事件(intercept/transform用户输入)	A curated, SHA-pinned plugin index with CLI, admission CI, docs and dashboard (#69446); Desktop gets one Plugins page owning agent + desktop plugins, install, c
dedup-h	937	skills-plugins	hook-forms: prompt/agent/http类型hooks不再丢弃	Discord/voice: make agent-proxy the default voice mode so realtime voice acts as the microphone/speaker extension of the routed OpenClaw agent session, with stt
dedup-h	959	ui-ux	worktree: sidebar新thread建worktree	Agent: Improved the agent panel's empty-state toolbar to show a "New {agent} Thread" placeholder title (or your draft prompt as you type), with a stable new-thr
dedup-h	1025	bugfix	proxy: PAC脚本动态选择proxy/direct	Added support for pasting files from Finder (and other file managers) into the project panel via the system clipboard (macOS only). Copying or cutting files in
dedup-h	1027	cli-flags	proxy: NO_PROXY尊重	Cross-version upgrade configuration anomaly: Fixed an issue where old version product configuration cache polluted new version configuration, reducing post-upgr
dedup-h	1034	cli-flags	hook-forms: prompt-type Stop hook continueOnBlock	Kitty keyboard protocol on Linux: Fixed keyboard input not working in Ghostty on Linux when Num Lock is enabled. The Kitty protocol includes Caps Lock and Num L
dedup-h	1059	mcp-tools	ToolSearch自然语言找工具+MCP defer_loading	Agent: Added a new limit_content_width setting in the agent panel that allows turning off the content max-width limit.
dedup-h	1065	mcp-tools	remote-mcp: OAuth redirect URI localhost:8765/callback	Add MCP prompts support - prompts from connected MCP servers now appear in slash command autocomplete as /mcp:<server>:<prompt>
dedup-h	1075	mcp-tools	remote-mcp: streamable http连接支持进行中	Doctor/OpenAI Codex: revert the 2026.5.5 doctor --fix repair that rewrote valid openai-codex/* ChatGPT/Codex OAuth routes to openai/*, which could break OAuth-o
dedup-h	1077	memory-context	remote-mcp: 交互式OAuth browser自动打开	Models/OpenAI Codex OAuth: bootstrap the env-configured HTTP/HTTPS proxy dispatcher on the stored-credential refresh path before token renewal runs, so expired
dedup-h	1112	models-routing	delegate-params: project级named fork profiles(tool allowlists+prompt hints)	A model turn that fails mid-stream with a transient provider error is now retried up to three times with backoff instead of ending the task. A single rate-limit
dedup-h	1143	models-routing	hook-forms: hooks.allowPromptInjection+unknown typed hook名校验	Onboarding/Ollama: add first-class Ollama setup with Local or Cloud + Local modes, browser-based cloud sign-in, curated model suggestions, and cloud-model handl
dedup-h	1164	orchestration	delegate-modes: delegate_task live编排(list running children+steer mid-run)	Sub-Agent Model Inheritance: Fixed the issue where spawning a sub-agent / team member without specifying a model should inherit the main conversation's current
dedup-h	1169	orchestration	delegate-params: 调用时动态model selection	Unified Cancel Cleanup Orchestrator: When a cancel signal is received, session runtime state is uniformly cleaned up across six dimensions (interaction, mode, T
dedup-h	1188	other	hook-events: message:transcribed/message:preprocessed+outbound enriched	The agent drives the desktop's browser — The in-app browser stopped being a window the agent could only look at: Hermes now navigates, clicks, and reads it dire
dedup-h	1221	remote-cloud	remote-mcp: 401时弹OAuth授权prompt而非失败	macOS/onboarding: add a remote gateway token field for remote mode, preserve existing non-plaintext gateway.remote.token config values until explicitly replaced
dedup-h	1239	scheduling	outbound-webhook: per-job webhook delivery+HTTP(S)校验	Token-authenticated hub connections can now request cross-workspace schedule access, so a host can list schedules that live outside the workspace it registered.
dedup-h	1246	scheduling	hook-events: before-agent-finalize+cron jobId context+permission fingerprints	Agents/tools: shorten built-in tool descriptions and schema hints across media, messaging, sessions, cron, Gateway, web, image/PDF, TTS, nodes, and plan tools w
dedup-h	1277	sessions-history	revert空目录GC: fileops receipt-undo回收创建文件但mkdirSync recursive建的空目录残留 — 微缺口	Sessions and dashboards: add rewind/fork and branch switching across web and native chat, session boards and dashboards, archived/visibility/draft/incognito ses
dedup-h	1284	sessions-history	fork size guard: forkFrom复制全量父会话无size/entry上限,超大parent可砖化thread — 待加容量闸	Android/chat settings: redesign the chat settings sheet with grouped device and media sections, refresh the Connect and Voice tabs, and tighten the chat compose
dedup-h	1291	sessions-history	win-containment: N-API Job Object进程树containment	Added sessionDir setting support in global and project settings.json so session storage can be configured without passing --session-dir on every invocation (#25
dedup-h	1293	shell-tools	secrets: auth.json apiKey支持!command shell解析	Adds the live-session stream, input layer, and composer to the OpenTUI migration, enabling streaming markdown, tool runs, and unified-diff rendering. (#10368) b
dedup-h	1294	shell-tools	secrets: models.json apiKey !command(如security find-generic-password)	“Open customizations” is now available from the new-tab menu in an agent space and from a Devin Local session’s sidebar context menu, and the Cascade panel’s ..
dedup-h	1334	skills-plugins	hook-forms: bounded resolve_exec_env(plugin提供exec env)	Plugin SDK: deprecate the legacy provider compat subpaths plus the older bundled provider setup and channel-runtime compatibility shims, emit migration warnings
dedup-h	1353	ui-ux	worktree: draft thread选目标worktree	Team Notification Optimization: Refactored background task completion notifications to use a mailbox-based delayed deduplication mechanism, preventing duplicate
dedup-h	1390	approval-gate	mcp-profile: mcp.servers.<name>.context按agent id范围限定	New Plan/Act mode toggle! Plan mode turns Cline into an architect that gathers information, asks clarifying questions, and designs a solution. Switch back to Ac
dedup-h	1392	approval-gate	approval UX: 点permission card编辑命令再批/ wand action	Background task output reading: Task output files are now written to temporary directories isolated by user and working directory, avoiding directory permission
dedup-h	1393	approval-gate	policy hot-reload: workspace trust changes daemon内即时生效	Introducing the auto permission mode, which allows CodeBuddy Code to intelligently determine whether each tool invocation requires user approval while maintaini
dedup-h	1398	approval-gate	origin-gate: browser-originated WS全量origin校验	Slash Command Permission Control: Support fine-grained tool permission configuration for custom commands, enhancing command execution security and flexibility
dedup-h	1402	approval-gate	egress: allowPrivateNetwork per-provider开关(自托管例外)	Channel Permission deny_and_exit_plan: WeChat / WeChat Work users can exit Plan mode by replying q; the ExitPlanMode tool adds a dedicated prompt
dedup-h	1406	approval-gate	secrets: 1Password broker可选SecretRef解析	Exiting plan mode now injects an explicit mode-change announcement, so the agent reliably starts acting in the new mode instead of continuing to follow plan-mod
dedup-h	1475	cli-flags	multi-root workspace feature flag	hermes peer — bot-to-bot DMs between your agents — Any Hermes agent can now message any other by handle, across profiles and gateways, from the CLI or from insi
dedup-h	1483	git-pr-ci	custom tools: npm包+.env访问支持	Output Format Options: New --output-format flag to control CLI output format for scripting and automation:
dedup-h	1504	mcp-tools	remote-mcp: MCP Apps tool call支持	Replaced the file history view with the git graph view, bringing improved performance, lazy loading, search, resizable columns, and the commit information panel
dedup-h	1507	mcp-tools	remote-mcp: MCP 2026协议+MCP Apps host daemon渲染	Agent: Added cmd-y keybinding for accepting changes in the agent diff review, matching the git diff review shortcut.
dedup-h	1509	mcp-tools	remote-mcp: OAuth client pre-registration(client ID+secret)	Agent: Added support for opening the Agent Panel with an initial prompt via zed://agent?prompt=<url_encoded_text> URL.
dedup-h	1514	mcp-tools	remote-mcp: OAuth discovery/authorization转发custom headers	Timeout Retry Enhancement: First-token timeout now supports up to 2 retries with linear delay (2s/4s), improving recovery success rate during network fluctuatio
dedup-h	1521	mcp-tools	remote-mcp: stdio+HTTP transports+reconnection+resource/prompt	MCP Configuration Documentation: Updated MCP configuration file location description, added priority-based configuration file parsing mechanism
dedup-h	1528	mcp-tools	remote-mcp: streamable-http/streamableHttp/_别名兼容	GPT-5.5 over Codex OAuth — OpenAI's new GPT-5.5 reasoning model is now available through your ChatGPT Codex OAuth, with live model discovery wired into the mode
dedup-h	1538	mcp-tools	remote-mcp: streamable http servers+bearer token	Models/OpenAI Codex OAuth and Plugins/MiniMax OAuth: ensure env-configured HTTP/HTTPS proxy dispatchers are initialized before OAuth preflight and token exchang
dedup-h	1546	memory-context	compaction: agent.compaction_model指定摘要模型	Added support for MCP 2026 core protocol and introduced an MCP Apps host for rendering inline applications in daemon-backed WebShell sessions. (#8992) by @samue
dedup-h	1590	models-routing	proxy: OpenAI-compatible可设Host header+legacy API	Skills: compact skill file <location> paths in the system prompt by replacing home-directory prefixes with ~, and add targeted compaction tests for prompt seria
dedup-h	1636	models-routing	model-pool: 同provider多API key自动rotation	Signal: add signal-cli JSON-RPC support for send/receive via the Signal provider.
dedup-h	1664	orchestration	agent-frontmatter: maxTurns/background/initialPrompt/effort/disallowedTools/memory字段	Added customizable multi-agent roles via config, including migration toward the new multi-agent naming/config surface. (#11917, #11982, #11939, #11918)
dedup-h	1696	other	/test命令:跑命令非零退出把输出进chat	Group chats: always inject group chat context (name, participants, reply guidance) into the system prompt on every turn, not just the first. Prevents the model
dedup-h	1698	other	hook-events: llm_input/llm_output hook payloads	Added support for super modifier (Command/Windows key) in keybinds, allowing shortcuts like super+z for undo and super+shift+z for redo
dedup-h	1740	sandbox-exec	fs-perms: deny-read glob policies+platform sandbox enforce	Simplifies remote workspace flow in Web Shell by sharing remote-add and connection-add navigation, keeping daemon links tab-scoped, and reducing duplicate label
dedup-h	1742	sandbox-exec	hook-events: runtime.events.onAgentEvent/onSessionTranscriptUpdate	Fixed a crash when clicking a built-in skill mention in the agent panel while connected to a remote project (Preview only).
dedup-h	1751	scheduling	schedule-reuse: 排程任务可reuse既有session(sessionId)	We heard your feedback about running into disk space limits on larger projects. To address this, we’ve significantly increased the available disk space in the J
dedup-h	1754	scheduling	schedule-params: cron add/edit --model flag	Plugin runtime/events: expose runtime.events.onAgentEvent and runtime.events.onSessionTranscriptUpdate for extension-side subscriptions, and isolate transcript-
dedup-h	1807	sessions-history	hook-forms: before_branch返回skipConversationRestore	Chat/UI: strip inline reply/audio directive tags ([[reply_to_current]], [[reply_to:<id>]], [[audio_as_voice]]) from displayed chat history, live chat event outp
dedup-h	1815	sessions-history	policy-inline: chat内联grant/deny session network policy	Removed ambient process.cwd() / default agent-dir fallback behavior from public resource helpers. DefaultResourceLoader, loadProjectContextFiles(), and loadSkil
dedup-h	1829	shell-tools	approval-ux: "Always allow"按subcommand粒度(cargo * vs cargo build *)	The Bash tool now passes the current session's MCP configuration snapshot to child processes, allowing plugin scripts to reuse existing local connector proxy ca
dedup-h	1846	shell-tools	input-forms: !!command执行显示进TUI存history但不进context	Auto-reply/TUI: keep fallback timeout recovery deliverable after a primary model lifecycle error by emitting fallback progress and deferring terminal TUI errors
dedup-h	1858	shell-tools	hook-forms: hooks.toml before_tool/after_tool shell scripts	Web shell fires a callback when a new session is created, enabling custom integrations. (#6703) by @ytahdn
dedup-h	1867	skills-plugins	hook-events: after_provider_response(HTTP status/headers)	Image attachments in formats the model pipeline can't read (HEIC, TIFF, SVG, BMP, ICO, and friends) are now rejected at attach time — by picker, paste, or drag-
dedup-h	1870	skills-plugins	hook-context: chat.params/chat.message带sessionID/agent/model/messageID	Support for numeric-only skill names: Fixed an issue where starting a new session with a numeric-only skill name, such as 12306, failed with an "Internal error"
dedup-h	1907	skills-plugins	plugin-surface: plugins注册CLI subcommands+request-scoped hooks(correlation)	iOS/Share: add an iOS share extension that forwards shared URL/text/image content directly to gateway agent.request, with delivery-route fallback and optional r
dedup-h	1922	skills-plugins	hook-events: transform_llm_output(reshape/filter LLM output)	Add: Mode dropdown to change skill mode dynamically, allowing more flexible skill configuration (PR #11102 by @SannidhyaSah)
dedup-h	1937	ui-ux	context-forms: @diagnostics把language-server诊断进对话	Shipped collaboration mode as beta in the TUI, with a clearer plan → execute handoff and simplified mode selection (Coding vs Plan). (#9690, #9712, #9802, #9834
dedup-h	1955	ui-ux	ui-changes: Changes view实时显示agent改动文件	Added support for project panel hiding gitignored files. Use the ProjectPanel::ToggleHideGitIgnore action to toggle the new project_panel.hide_gitignore setting
dedup-h	1969	approval-gate	egress: allowPrivateNetworkHooks(HTTP hooks私网例外)	Added ACP support for configuring reasoning effort levels, allowing clients to set options from Default to Max via session configuration. (#8526) by @zjunothing
dedup-h	1975	approval-gate	approval-channels: 经Channels(如微信)确认tool permission请求	Agents/sandbox: store sandbox container and browser registry entries as per-runtime shard files, reducing unrelated session lock contention while openclaw docto
dedup-h	1978	approval-gate	trust-ux: 信任当前/父/递归目录选择	(Preview only) Sidebar: Fixed the sidebar opening when a new directory in a new window was opened.
dedup-h	1981	approval-gate	policy-mdm: 企业admin限制auto-run terminal commands(MDM enforcement)	Expose services to external callers: A hidden --a2a mode has been added, running as a persistent stdio service using the standard A2A protocol for programmatic
dedup-h	1985	approval-gate	skill-install: 私有skill archive上传安装(allowUploadedArchives门)	ModelRegistry no longer has a public constructor. SDK callers and tests must use ModelRegistry.create(authStorage, modelsJsonPath?) for file-backed registries o
dedup-h	2004	approval-gate	approval-forms: plugin在approval里描述external verification选项	WorkBuddy Desktop Sandbox Command Exclusions: sandbox.excludedCommands is no longer used to bypass the sandbox, preventing compound commands and redirections fr
dedup-h	2010	approval-gate	proxy: HTTPS managed forward-proxy+proxy.tls.caFile CA trust	Channel permission relay: Supports confirming tool permission requests via Channels (such as WeChat). Channels that declare permission relay capability no longe
dedup-h	2026	approval-gate	pairing: allowlisted proxy identities自动批准新UI设备	Proxy: support HTTPS managed forward-proxy endpoints and scoped proxy.tls.caFile CA trust for proxy endpoint TLS. (#79171) Thanks @jesse-merhi.
dedup-h	2027	approval-gate	approval-scope: MCP permission提示含"approve all tools on server"	Security and robustness: audit suppressions, gateway auth/log redaction, malformed JSON/base64/URL handling, SSRF/private-network guardrails, exec approval real
dedup-h	2051	attachments	image-quality: agents.defaults.imageQuality自适应压缩	Fixed an empty capability list stripping image input. Two readers bypassed modelHasCapability and tested capabilities directly, where an empty list is not nulli
dedup-h	2087	bugfix	critic: Planning Critic二次agent审非人工plans	Model request timeout: Aligned the model request wait time with the first Token timeout configuration, preventing requests from being prematurely cancelled at t
dedup-h	2091	cli-flags	--append-system-prompt(text/file)	File Auto-Completion Refresh: Fixed an issue where newly added files were not suggested when typing @; the file list cache now automatically refreshes after exp
dedup-h	2100	cli-flags	policy-mdm: MDM下发outbound HTTP proxy配置	Feishu/webhook: harden the webhook transport and card-action replay guards to fail closed on missing encryptKey and blank callback tokens — refuse to start the
dedup-h	2101	cli-flags	project-kill: .zed/settings.json disable_ai禁用项目AI	Background tasks: add the first linear task flow control surface with openclaw flows list|show|cancel, keep manual multi-task flows separate from one-task auto-
dedup-h	2118	cli-flags	model-router: Adaptive默认model按任务自动路由	This release introduces a new crush projects command that you can use to see all the projects where you used Crush that it knows about. Keep in mind that you ne
dedup-h	2124	cli-flags	headless: context-mode/context-include/output-schema flags	feat(cli): add context-mode, context-include, output-schema flags for subprocess mode
dedup-h	2132	file-edit	write-verify: post-write delta lint(Python/JSON/YAML/TOML syntax)	Nix/Guix support: PI_PACKAGE_DIR environment variable overrides the package path for content-addressed package managers where store paths tokenize poorly. See R
dedup-h	2135	git-pr-ci	worktree: git: worktree creation action+picker开新窗口	feat(cli): add /config key=value slash command to set any setting from the prompt
dedup-h	2137	git-pr-ci	command-frontmatter: slash command front matter mode字段(自动切mode)	Workspace flag: New -w, --workspace <path> option to specify a custom workspace directory instead of using the current working directory
dedup-h	2144	git-pr-ci	context-forms: @-mention branch diff(自main全部changes)	apply_patch "Add File" against a path that already exists is now rejected instead of silently overwriting it. Only UPDATE and DELETE targets were pre-loaded, so
