idx	novelty	cluster	src	verdict	detail	pass
160	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
161	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
162	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
163	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
164	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
165	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
166	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
167	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
168	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
169	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
170	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
171	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
172	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
173	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
174	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
175	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
176	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
177	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
178	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
179	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
180	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
181	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
182	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
183	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
184	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
185	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
186	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
187	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
188	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
189	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
190	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
191	1.00	remote-clo	s4	boundary	远程执行/git 签名形态外	fill
192	1.00	search-ind	s4	boundary	RAG/索引形态外	fill
193	1.00	shell-tool	s4	boundary	terminal/web-shell UI	fill
194	1.00	shell-tool	s4	boundary	terminal/web-shell UI	fill
195	1.00	shell-tool	s4	boundary	terminal/web-shell UI	fill
196	1.00	shell-tool	s4	boundary	terminal/web-shell UI	fill
197	1.00	shell-tool	s4	boundary	terminal/web-shell UI	fill
198	1.00	shell-tool	s4	boundary	terminal/web-shell UI	fill
199	1.00	shell-tool	s4	boundary	terminal/web-shell UI	fill
200	1.00	ui-ux	s4	boundary	编辑器 UI	fill
201	1.00	ui-ux	s4	boundary	编辑器 UI	fill
202	1.00	ui-ux	s4	boundary	编辑器 UI	fill
203	1.00	ui-ux	s4	boundary	编辑器 UI	fill
204	1.00	ui-ux	s4	boundary	编辑器 UI	fill
205	0.93	sessions-h	s4	annotated	模型切换不丢上下文 | 踩坑：durable session 不复发	prior
206	0.92	cli-flags	s6	annotated	claude.ai skill/plugin 云同步、artifac	prior
207	0.92	bugfix	s5	annotated	重启丢参数/daemon 指纹 | 不复发——spec 重推导/自生	prior
208	0.92	cli-flags	s4	annotated	执行 | 沙箱执行命令+**删除保护走回收站+改前备份**（Wind	prior
209	0.92	i18n-l10n	s4	annotated	执行 | approval 模式 PLAN/DEFAULT/AUTO	prior
210	0.92	perf	s4	annotated	diff 默认折叠为 file chip / 会话列表 sort+f	prior
211	0.92	security-s	s4	annotated	**治理/安全**: policy.json 规范锚+sha256+dr	prior
212	0.91	i18n-l10n	s6	annotated	> **Created**: 2026-09-18 · **Status	prior
213	0.91	git-pr-ci	s5	annotated	2. held-out recall eval 证明 semantic	prior
214	0.90	ui-ux	s4	annotated	协作 | Remote Control（手机浏览器控制已开 work	prior
215	0.90	other	s6	boundary	IDE/编辑器/营销面	fill
216	0.90	cli-flags	s5	annotated	协作 | `tool-subagent`（spawn/fork+ba	prior
217	0.90	git-pr-ci	s4	noise	上游 CI/release 内务	fill
218	0.90	git-pr-ci	s4	annotated	平台 | CLI React/Ink+a2a-server+IDE	prior
219	0.90	other	s4	annotated	上下文 | `/compact`+自动压缩+`/context` 组	prior
220	0.89	cli-flags	s7	annotated	M135 adaptive 调度 edit 漏验 | **落地**（	prior
221	0.89	cli-flags	s6	annotated	执行 | approval 模式 PLAN/DEFAULT/AUTO	prior
222	0.89	attachment	s5	annotated	Live Voice Mode | 边界（语音 UX 非范围） |	prior
223	0.89	cli-flags	s5	annotated	执行 | policy TOML 规则文件（扩展可带）+confir	prior
224	0.89	other	s5	annotated	协作 | architect 双模型管道（主模型规划→editor	prior
225	0.89	ui-ux	s5	annotated	开屏 | `/doctor` 自检、`/init` 写 CLAUDE	prior
226	0.89	ui-ux	s5	annotated	粘贴超长文本转附件 | Codex composer | paste	prior
227	0.89	bugfix	s4	annotated	会话 | 任务列表（workspace/分组/时间线视图+搜索+3/	prior
228	0.89	cli-flags	s4	annotated	- CLI 移除 plan mode → 值得注意的反向信号：对方在简化	prior
229	0.89	cli-flags	s4	annotated	claude.ai skill/plugin 云同步、artifac	prior
230	0.89	models-rou	s4	annotated	M138 字节嗅探+BMP | **落地**——magic 重分类	prior
231	0.89	other	s7	annotated	输入 | 频道消息即输入（Telegram/Discord/Slac	prior
232	0.88	shell-tool	s7	annotated	执行 | reflection 回路（≤3 次：edit 解析失败/	prior
233	0.88	shell-tool	s7	annotated	执行 | reflection 回路（≤3 次：edit 解析失败/	prior
234	0.88	ui-ux	s7	annotated	开屏 | `goose configure`+`goose doct	prior
235	0.88	shell-tool	s6	annotated	N9 | 完成/待批准声音提醒（opt-in terminal be	prior
236	0.88	ui-ux	s6	annotated	开屏 | `goose configure`+`goose doct	prior
237	0.88	ui-ux	s6	annotated	项目信任门 | Pi project-trust.ts（克隆仓库内容	prior
238	0.88	attachment	s5	annotated	18. 图片附件字节嗅探是否覆盖声明 MIME（zip 标 image）	prior
239	0.88	i18n-l10n	s5	annotated	M102 `/rename` | **REAL** | `app/u	prior
240	0.88	i18n-l10n	s5	annotated	M102 `/rename` | **REAL** | `app/u	prior
241	0.88	other	s5	annotated	执行 | Agent 模式可自发 task plan 求确认；SOL	prior
242	0.88	other	s5	annotated	## 19. Mistral Vibe（Mistral · Textua	prior
243	0.88	remote-clo	s5	annotated	协作 | **KAOS**：同一工具面可指向 SSH/SFTP 远端	prior
244	0.88	sessions-h	s5	annotated	模型切换不丢上下文 | 踩坑：durable session 不复发	prior
245	0.88	skills-plu	s5	annotated	输入 | `@`文件/文件夹/plugin 引用、`#`历史会话链接	prior
246	0.88	shell-tool	s4	boundary	terminal/web-shell UI	fill
247	0.88	bugfix	s4	noise	上游内部修复	fill
248	0.88	bugfix	s4	annotated	- CLI 移除 plan mode → 值得注意的反向信号：对方在简化	prior
249	0.88	git-pr-ci	s4	annotated	执行 | reflection 回路（≤3 次：edit 解析失败/	prior
250	0.88	git-pr-ci	s4	annotated	CodeBuddy 本地 gateway 跨域 POST | ~~复	prior
251	0.88	git-pr-ci	s4	annotated	G5 veto 钩 | Claude Code PreToolUse	prior
252	0.88	integratio	s4	annotated	执行 | approval 模式 PLAN/DEFAULT/AUTO	prior
253	0.88	models-rou	s4	annotated	Custom mode = 钉住 skill（"always-on	prior
254	0.88	other	s4	annotated	平台 | CLI+Electron（ACP over WS+bear	prior
255	0.88	other	s4	annotated	输入 | 频道消息即输入（Telegram/Discord/Slac	prior
256	0.88	other	s4	annotated	- provider-native web search 默认开、mid	prior
257	0.88	other	s4	boundary	IDE/编辑器/营销面	fill
258	0.88	other	s4	boundary	IDE/编辑器/营销面	fill
259	0.88	other	s4	annotated	**方向三·评审者视角 UI pass（已落）**：新增「关于」视图（侧	prior
260	0.88	perf	s4	annotated	上下文 | **codebase_search=embedding+	prior
261	0.88	security-s	s4	annotated	执行 | **tool-loop 检测 6 种**（generic_	prior
262	0.88	skills-plu	s4	annotated	> `harnesses/goose.md`；MCP 是唯一工具总线（内	prior
263	0.88	ui-ux	s4	annotated	扩展 | rules/hooks.json/skills/plugi	prior
264	0.87	cli-flags	s5	annotated	执行 | 默认权限模式逐风险动作问（敏感路径/批量删除/脚本/网络/	prior
265	0.87	sandbox-ex	s4	annotated	**族 B：远程执行目标**（SSH/WSL/Docker，本窗口累计四	prior
266	0.86	git-pr-ci	s7	annotated	2. held-out recall eval 证明 semantic	prior
267	0.86	other	s7	annotated	- provider-native web search 默认开、mid	prior
268	0.86	ui-ux	s7	annotated	通知历史抽屉 | PI-Desktop notification c	prior
269	0.86	other	s6	annotated	2. held-out recall eval 证明 semantic	prior
270	0.86	ui-ux	s6	annotated	协作 | architect 双模型管道（主模型规划→editor	prior
271	0.86	api-sdk	s6	boundary	SDK 表面	fill
272	0.86	file-edit	s6	annotated	执行 | `repeat-tool-reminder`（重复调用提醒	prior
273	0.86	models-rou	s6	annotated	Qwen Code | 最新 v0.22.0 @ 08-22——窗口	prior
274	0.86	other	s6	boundary	IDE/编辑器/营销面	fill
275	0.86	other	s6	annotated	侧栏 agent mode 图标 | 同构（会话类型徽章） |	prior
276	0.86	other	s6	annotated	checkpoint 全量 hash | 不复发——anchor 制	prior
277	0.86	other	s6	annotated	执行 | Agent 模式可自发 task plan 求确认；SOL	prior
278	0.86	other	s6	boundary	IDE/编辑器/营销面	fill
279	0.86	scheduling	s6	annotated	2. held-out recall eval 证明 semantic	prior
280	0.86	git-pr-ci	s5	annotated	协作 | EnterWorktree git worktree 隔离	prior
281	0.86	git-pr-ci	s5	annotated	协作 | EnterWorktree git worktree 隔离	prior
282	0.86	other	s5	annotated	执行 | **bash tree-sitter 权限分析**：给出具	prior
283	0.86	api-sdk	s5	annotated	工具失败错误正确显示、不残留半成品卡 | 同构（tool 错误行+d	prior
284	0.86	cli-flags	s5	annotated	**协调器设计输入**（域证据直接喂给已拍板的协调器）：/loop 每轮	prior
285	0.86	git-pr-ci	s5	annotated	2. held-out recall eval 证明 semantic	prior
286	0.86	git-pr-ci	s5	annotated	— | 草稿任务 | **HOLD** | 无真实阻塞证据，不建新	prior
287	0.86	mcp-tools	s5	annotated	MCP 连接状态+重连/密钥页面迁移/个人 OAuth | N/A	prior
288	0.86	other	s5	annotated	上下文 | AGENTS.md/CLAUDE.md 上溯+远端 UR	prior
289	0.86	other	s5	annotated	2. held-out recall eval 证明 semantic	prior
290	0.86	other	s5	annotated	**出口**: export HTML；审计导出。无 PR/commit	prior
291	0.86	other	s5	annotated	陈旧任务对账 | Cline stale session 对账 |	prior
292	0.86	scheduling	s5	annotated	可见性 | DiffViewProvider 逐改动批准；工具分组动	prior
293	0.86	search-ind	s5	boundary	RAG/索引形态外	fill
294	0.86	shell-tool	s5	annotated	后台 workflow 运行中的 session 不消失在任务列表	prior
295	0.86	shell-tool	s5	annotated	可见性 | DiffViewProvider 逐改动批准；工具分组动	prior
296	0.86	skills-plu	s5	annotated	协作 | agentRegistry（built-in codeba	prior
297	0.86	skills-plu	s5	annotated	协作 | agentRegistry（built-in codeba	prior
298	0.86	skills-plu	s5	annotated	协作 | agentRegistry（built-in codeba	prior
299	0.86	ui-ux	s5	annotated	输入 | Plan/Act 模式切换、auto-approve 逐项	prior
300	0.86	bugfix	s4	noise	上游内部修复	fill
301	0.86	bugfix	s4	noise	上游内部修复	fill
302	0.86	cli-flags	s4	annotated	上下文 | AGENTS.md+project context（gi	prior
303	0.86	git-pr-ci	s4	annotated	agent_sdk 子会话继承用户配置泄漏（MCP/tools 渗入	prior
304	0.86	git-pr-ci	s4	annotated	输入 | Agent 面板 composer + inline ed	prior
305	0.86	git-pr-ci	s4	annotated	上下文 | ToolSearch 延迟加载工具 schema | ❌	prior
306	0.86	models-rou	s4	annotated	开屏 | VS Code 侧栏+provider profiles（	prior
307	0.86	models-rou	s4	noise	provider/模型目录更新	fill
308	0.86	other	s4	annotated	prompt history 200 帽 | **候选（薄）**：输	prior
309	0.86	other	s4	annotated	长会话分页 | Codex/OpenCode 虚拟滚动 | UI 侧	prior
310	0.86	other	s4	dup	workspace 额度提示——budget_exceeded 事件已有	fill
311	0.86	other	s4	annotated	2. held-out recall eval 证明 semantic	prior
312	0.86	other	s4	annotated	执行 | 沙箱 beta（写限 project+temp+依赖目录；	prior
313	0.86	other	s4	annotated	插件版本 diff/下载/编辑/直链 | 变体（skill_mana	prior
314	0.86	other	s4	boundary	IDE/编辑器/营销面	fill
315	0.86	other	s4	annotated	三 scope rewind+分叉点 | ZCode EscEsc（	prior
316	0.86	other	s4	annotated	**Code Scans**：宽泛工程目标→调查→评估→PR | 编	prior
317	0.86	other	s4	boundary	IDE/编辑器/营销面	fill
318	0.86	other	s4	annotated	macOS TCC 签名身份持久 | 平台 N/A |	prior
319	0.86	other	s4	annotated	侧栏 agent mode 图标 | 同构（会话类型徽章） |	prior
320	0.86	other	s4	boundary	IDE/编辑器/营销面	fill
321	0.86	perf	s4	annotated	上下文 | compaction=隐藏 agent 跑固定节模板（O	prior
322	0.86	perf	s4	dup	lazy factory+inflight dedup——M83 lazy tools 同型	fill
323	0.86	shell-tool	s4	annotated	上下文 | 压缩 0.8 阈值+**tool_call 对成批摘要*	prior
324	0.85	skills-plu	s6	annotated	agent 驱动内置浏览器 | 同构（browser 工具族已配置即	prior
325	0.85	other	s4	annotated	Help 菜单 About + Check for Updates	prior
326	0.85	other	s4	annotated	执行 | Agent 模式可自发 task plan 求确认；SOL	prior
327	0.85	other	s4	annotated	执行 | `execute_code`：模型写 Python 在沙箱	prior
328	0.83	bugfix	s7	annotated	M135 adaptive 调度 edit 漏验 | **落地**（	prior
329	0.83	cli-flags	s7	verify-closed	FolderTrustDialog——M85 workspace trust 已裁核销	fill
330	0.83	other	s7	annotated	2. held-out recall eval 证明 semantic	prior
331	0.83	other	s7	boundary	IDE/编辑器/营销面	fill
332	0.83	other	s7	annotated	10. clipboard bmp/GIF 格式是否归一/保真	prior
333	0.83	perf	s7	annotated	- CLI 移除 plan mode → 值得注意的反向信号：对方在简化	prior
334	0.83	sandbox-ex	s7	annotated	上下文 | jit-context 工具（just-in-time	prior
335	0.83	sessions-h	s7	noise	上游测试/图标	fill
336	0.83	ui-ux	s7	annotated	执行 | Agent 模式可自发 task plan 求确认；SOL	prior
337	0.83	bugfix	s6	annotated	**Cline**：Desktop/CLI/SDK 三轨迭代快但多为修复	prior
338	0.83	cli-flags	s6	annotated	执行 | Agent 模式可自发 task plan 求确认；SOL	prior
339	0.83	models-rou	s6	noise	provider/模型目录更新	fill
340	0.83	other	s6	annotated	压缩后只读 summary 尾部（perf） | 变体（compac	prior
341	0.83	other	s6	annotated	2. held-out recall eval 证明 semantic	prior
342	0.83	other	s6	annotated	2. held-out recall eval 证明 semantic	prior
343	0.83	other	s6	annotated	M92 后台会话页 | **部分 / VARIANT**（外部审查下	prior
344	0.83	other	s6	annotated	M116 审批卡 secret 泄漏 | **落地**（修复完成）	prior
345	0.83	other	s6	annotated	M114 持久 `js_repl` | **MISSING** |	prior
346	0.83	other	s6	annotated	执行 | Agent 模式可自发 task plan 求确认；SOL	prior
347	0.83	sessions-h	s6	annotated	执行 | 沙箱执行命令+**删除保护走回收站+改前备份**（Wind	prior
348	0.83	shell-tool	s6	annotated	subagent 结果加 header 标记防冒充 / prompt	prior
349	0.83	skills-plu	s6	annotated	输入 | `@`文件/文件夹/plugin 引用、`#`历史会话链接	prior
350	0.83	ui-ux	s6	annotated	N8 | ✅ 已有 | 附着按**当前模型** `input` 模态	prior
351	0.83	other	s5	annotated	会话 | 事件即会话（每事件 JSON+页缓存）；resume=重放	prior
352	0.83	cli-flags	s5	annotated	2. held-out recall eval 证明 semantic	prior
353	0.83	cli-flags	s5	annotated	**Code Scans**：宽泛工程目标→调查→评估→PR | 编	prior
354	0.83	git-pr-ci	s5	annotated	2. held-out recall eval 证明 semantic	prior
355	0.83	git-pr-ci	s5	annotated	**缺口小结**: 形态外（云 VM/蓝图/集成面）占半；真实可迁移 =	prior
356	0.83	git-pr-ci	s5	annotated	上下文 | compaction=隐藏 agent 跑固定节模板（O	prior
357	0.83	models-rou	s5	annotated	模型 | LiteLLM 100+ provider+tenacit	prior
358	0.83	models-rou	s5	annotated	**缺口小结**: 交互工艺主体已齐；剩余真实缺口 = minimap、	prior
359	0.83	models-rou	s5	annotated	模型 | LiteLLM 100+ provider+tenacit	prior
360	0.83	orchestrat	s5	annotated	持久化 | 会话+索引对象+usage 统计（per-seat to	prior
361	0.83	other	s5	cand	--skip-sanity-check-repo 大仓启动加速档	fill
362	0.83	other	s5	annotated	macOS TCC 签名身份持久 | 平台 N/A |	prior
363	0.83	other	s5	annotated	模型 | MISTRAL+GENERIC 双 backend（GEN	prior
364	0.83	other	s5	annotated	2. held-out recall eval 证明 semantic	prior
365	0.83	other	s5	annotated	2. held-out recall eval 证明 semantic	prior
366	0.83	other	s5	annotated	2. held-out recall eval 证明 semantic	prior
367	0.83	other	s5	annotated	2. held-out recall eval 证明 semantic	prior
368	0.83	other	s5	annotated	上下文 | `/compact`+自动压缩+`/context` 组	prior
369	0.83	other	s5	boundary	IDE/编辑器/营销面	fill
370	0.83	other	s5	annotated	会话 | 任务列表（workspace/分组/时间线视图+搜索+3/	prior
371	0.83	other	s5	annotated	执行 | 批准队列（session/always 按 pattern	prior
372	0.83	other	s5	annotated	输入 | 频道消息即输入（Telegram/Discord/Slac	prior
373	0.83	perf	s5	annotated	扩展 | 无插件——子类化四个 seam（Agent/Environ	prior
374	0.83	sandbox-ex	s5	annotated	- `TaskStore`：durable task + `spawn_	prior
